Регион,Год,Объем_сточных_вод_млн_м3,Инвестиции_норм_%,ВРП_на_душу_руб,Индексы_производства_продукции_СХ_%,Доля_городского_населения_%,Использование_свеж_воды_млн_м3,Индекс_промыш_производства_%
Кемеровская область — Кузбасс,2016,443.99,0.8060351875117133,333713.4,98.2,86.1,1681.24,103.4
Кемеровская область — Кузбасс,2017,432.77,1.3787241736431115,407447.3,101.4,86.2,1672.01,103.6
Кемеровская область — Кузбасс,2018,355.07,1.1164562909198297,473228.2,98.5,86.4,1524.79,101.0
Кемеровская область — Кузбасс,2019,300.65,2.3238469501028107,417916.8,98.9,86.4,2288.79,102.9
Кемеровская область — Кузбасс,2020,264.77,2.19126885470938,396616.6,106.7,86.5,1477.14,96.2
Кемеровская область — Кузбасс,2021,225.07,1.168462198044063,699481.8,111.8,86.5,1273.71,106.8
Кемеровская область — Кузбасс,2022,203.81,1.8965411512700805,848312.2,110.1,86.5,1474.27,95.9
Кемеровская область — Кузбасс,2023,212.0,1.6261413015465185,736.5,86.2,86.5,1457.0,98.7
Кировская область,2000,179.0,0.2577275292356001,23165.6,97.1,71.2,247.0,112.51
Кировская область,2001,176.0,0.1976112136981702,27297.1,103.1,71.6,254.0,86.07
Кировская область,2002,171.0,0.1516456491549639,33124.0,87.4,71.8,256.0,98.43
Кировская область,2003,171.0,0.1851535924755778,38900.6,94.6,72.2,258.0,100.62
Кировская область,2004,167.0,0.0860744885172728,48464.8,97.4,72.9,266.0,103.1
Кировская область,2005,132.0,0.0291238411741265,55726.6,92.5,72.3,256.0,100.3
Кировская область,2006,159.0,0.1826247255198764,68958.3,97.2,72.6,261.0,108.3
Кировская область,2007,147.0,0.185415078003536,85144.4,90.8,73.1,259.0,101.7
Кировская область,2008,147.0,0.1244415739623747,110127.9,100.1,73.3,268.0,98.7
Кировская область,2009,139.0,0.2517965600360303,107680.4,103.0,73.6,245.0,90.1
Кировская область,2010,205.0,0.2366882890828072,128073.7,86.4,74.1,237.0,111.4
Кировская область,2011,176.0,0.4381370362499008,146903.7,111.4,74.4,229.0,110.0
Кировская область,2012,170.65,0.5942667671916411,159030.0,95.4,74.7,219.76,100.8
Кировская область,2013,169.13,0.2282198308917642,173192.9,93.7,75.0,214.04,100.2
Кировская область,2014,146.31,0.1956790405266807,198742.1,110.3,75.4,192.67,103.9
Кировская область,2015,131.93,0.2343383098681389,223251.7,98.6,75.7,184.31,103.3
Кировская область,2016,127.28,0.4281434792676262,250772.9,104.0,76.0,184.43,102.7
Кировская область,2017,85.94,0.3085236307340611,268466.4,96.3,76.4,178.12,101.0
Кировская область,2018,79.04,0.2902658199003299,289855.8,104.5,76.8,181.44,103.3
Кировская область,2019,110.57,0.5672047001586622,308454.0,100.4,77.2,182.88,101.3
Кировская область,2020,110.2,0.4091525615019443,335637.0,108.4,77.6,177.13,104.1
Кировская область,2021,105.81,0.3054506344217955,420844.8,98.7,77.9,180.0,114.6
Кировская область,2022,105.09,0.5344454999412144,484903.7,111.5,78.3,174.01,103.3
Кировская область,2023,81.0,0.1604266601531071,534.3,97.5,78.7,151.0,110.5
Костромская область,2000,64.0,0.4048384967171202,21984.7,102.9,66.8,1515.0,108.18
Костромская область,2001,63.0,0.2884008730283734,29668.3,97.8,67.1,1480.0,103.4
Костромская область,2002,57.0,0.4566426102670607,35109.5,96.9,67.4,1470.0,102.11
Костромская область,2003,64.0,0.5126279380710694,40741.1,93.8,67.9,1622.0,106.22
Костромская область,2004,65.0,2.031491978807751,52661.0,93.2,68.1,1635.0,104.5
Костромская область,2005,64.0,0.2217448030310151,63304.4,98.6,68.6,1574.0,108.9
Костромская область,2006,66.0,0.2691923438532063,78226.9,101.7,69.1,1632.0,111.1
Костромская область,2007,64.0,0.1419565177685371,95687.2,97.0,69.2,1742.0,105.7
Костромская область,2008,65.0,0.0942365996345046,119071.5,94.2,69.4,1671.0,100.2
Костромская область,2009,61.0,0.0551617002890243,116856.2,99.5,69.6,1508.0,83.8
Костромская область,2010,47.0,0.021953374428186,146536.9,91.0,70.0,1800.0,115.7
Костромская область,2011,46.0,0.2919253912807876,176159.8,111.3,70.2,1905.0,108.2
Костромская область,2012,47.44,0.0904865775402704,199938.0,98.0,70.5,1906.9,103.7
Костромская область,2013,40.54,0.0430231362024056,214581.7,93.0,70.9,1982.26,104.6
Костромская область,2014,37.06,0.1051669205317195,228669.8,97.3,71.4,2076.02,100.0
Костромская область,2015,36.41,0.0312505059789587,252781.6,95.1,71.6,1781.24,91.5
Костромская область,2016,35.79,0.0608290551745894,271006.1,96.7,72.0,1988.09,101.8
Костромская область,2017,35.38,0.0432596131004405,287837.4,93.4,72.4,1864.94,107.0
Костромская область,2018,33.91,0.1837848236484616,314092.1,97.9,72.6,1810.9,97.1
Костромская область,2019,35.23,0.0699347566055379,338677.9,101.0,73.0,1727.85,108.2
Костромская область,2020,36.81,0.090622842811937,343868.4,106.2,73.4,1137.57,90.1
Костромская область,2021,39.3,0.751954684293033,424108.4,95.5,73.8,1587.89,113.4
Костромская область,2022,38.08,0.2022156620740396,480119.7,100.4,74.1,1724.02,92.5
Костромская область,2023,33.0,0.6440587915506132,555.3,105.6,74.5,1548.0,108.6
Краснодарский край,2000,1076.0,0.1937753281123177,26713.9,114.8,53.5,3572.0,109.7
Краснодарский край,2001,1039.0,0.4104114634929051,34912.4,110.3,53.5,3483.0,101.5
Краснодарский край,2002,986.0,1.2910033454647,42477.6,105.8,53.5,3485.0,105.0
Краснодарский край,2003,1252.0,0.1171067585807362,48572.8,90.5,53.5,3397.0,105.1
Краснодарский край,2004,1226.0,0.126647994602447,61291.7,118.6,52.8,3231.0,105.6
Краснодарский край,2005,795.0,0.2073355360714,72794.1,102.5,52.8,3105.0,109.2
Краснодарский край,2006,907.0,0.224029844362246,94244.0,104.1,52.8,3413.0,122.9
Краснодарский край,2007,887.0,0.141421940654228,125700.4,98.7,52.8,3420.0,110.9
Краснодарский край,2008,858.0,0.0900526613638311,155103.6,123.1,52.8,3253.0,100.4
Краснодарский край,2009,820.0,0.1586652929486226,165555.1,94.8,52.8,3107.0,87.8
Краснодарский край,2010,863.0,0.1838370473293809,196914.3,102.8,52.9,3142.0,104.2
Краснодарский край,2011,920.0,0.2720486227163109,236464.8,111.2,53.4,3278.0,107.1
Краснодарский край,2012,891.89,0.1141760749708048,273999.1,88.3,53.7,3235.77,108.3
Краснодарский край,2013,839.32,0.0969632833225824,307971.4,106.6,54.2,3013.79,102.5
Краснодарский край,2014,832.89,0.6704347453137786,326019.5,101.4,54.5,3005.12,105.3
Краснодарский край,2015,857.77,0.263805963252053,348836.0,102.9,54.8,3055.94,104.8
Краснодарский край,2016,900.88,0.1241313195466077,401975.1,105.2,55.2,3155.94,104.9
Краснодарский край,2017,765.93,0.0778789869886431,427061.4,101.7,55.6,3168.35,104.5
Краснодарский край,2018,718.03,0.0787701424308141,436674.8,96.4,56.0,3157.43,101.6
Краснодарский край,2019,732.17,0.0565800474799283,446335.4,108.9,56.2,3779.93,102.9
Краснодарский край,2020,518.52,0.1393932847590618,459481.1,91.4,56.6,2871.89,95.0
Краснодарский край,2021,672.19,1.388263623454003,563372.1,114.0,57.0,3162.43,108.3
Краснодарский край,2022,800.87,1.195554894469444,738801.1,109.7,57.1,2704.82,103.8
Краснодарский край,2023,34.0,0.8449117944625733,819.1,95.7,57.3,692.0,106.0
Красноярский край,2000,617.0,1.0477483978353015,71281.0,103.9,75.4,2900.0,102.1
Красноярский край,2001,620.0,0.9778456269317516,80038.8,100.9,75.6,2604.0,102.1
Красноярский край,2002,611.0,1.0248799432368425,77729.0,101.4,75.8,2605.0,104.3
Красноярский край,2003,578.0,1.878369505036172,92547.5,102.3,76.0,2789.0,106.2
Красноярский край,2004,531.0,1.9821088339137527,125287.8,101.5,76.0,2494.0,103.7
Красноярский край,2005,531.0,2.3447767062532163,152389.0,101.7,75.7,2755.0,100.8
Красноярский край,2006,462.0,0.8653686348733421,205042.4,102.1,75.5,2545.0,101.0
Красноярский край,2007,449.0,0.7232629276550395,258394.3,104.0,76.0,2643.0,102.4
Красноярский край,2008,481.0,1.0062730359285617,260318.2,103.3,75.8,3018.0,104.0
Красноярский край,2009,453.0,1.0437579785657882,264478.7,102.7,76.0,2456.0,98.3
Красноярский край,2010,444.0,0.8212297387555955,372848.1,95.7,76.4,2296.0,135.8
Красноярский край,2011,448.0,1.0954956687463642,413129.4,98.1,76.7,2218.0,107.3
Красноярский край,2012,425.63,1.3323134256457758,416138.6,93.1,77.0,2348.65,109.3
Красноярский край,2013,391.11,1.5680943416206148,440842.2,99.0,77.4,2084.47,109.3
Красноярский край,2014,366.69,1.8022415413577135,493601.6,95.1,77.7,1931.37,102.3
Красноярский край,2015,327.23,2.4917629319397108,581761.5,100.3,78.0,2114.17,99.0
Красноярский край,2016,313.28,2.083536539521189,633831.3,103.3,78.3,1916.8,99.0
Красноярский край,2017,308.33,1.8346147858886936,686444.6,94.4,78.5,2006.24,103.9
Красноярский край,2018,304.71,1.1504787093579834,824537.3,101.6,78.8,1909.84,106.4
Красноярский край,2019,317.81,0.8968715085746615,937587.0,104.5,78.9,1848.77,101.7
Красноярский край,2020,321.61,1.7852765371592134,950427.4,108.1,79.1,1542.13,91.7
Красноярский край,2021,323.63,5.49965537787794,1091894.6,95.7,79.4,1458.77,98.1
Красноярский край,2022,299.25,7.585867234190559,1164188.7,103.7,79.6,1940.76,103.2
Красноярский край,2023,299.0,5.537897657379728,1307.1,96.1,79.8,1843.0,98.4
Курганская область,2000,62.0,0.5103832089472446,17758.7,94.7,56.3,84.0,102.36
Курганская область,2001,18.0,0.2623902661980488,24429.3,104.3,56.4,82.0,115.91
Курганская область,2002,62.0,0.2689159942286112,29253.3,91.6,56.4,74.0,90.46
Курганская область,2003,57.0,0.3533722756989921,36759.0,94.1,57.0,68.0,113.03
Курганская область,2004,57.0,0.5629894562356077,42889.3,87.0,57.6,71.0,106.1
Курганская область,2005,59.0,0.4621968403329233,51724.0,114.5,58.4,70.0,105.4
Курганская область,2006,57.0,0.391492302858938,71738.6,103.1,58.9,67.0,106.8
Курганская область,2007,56.0,0.4225418126202575,86224.4,103.5,59.3,63.0,105.9
Курганская область,2008,54.0,0.7281778368567319,114237.4,102.7,59.5,61.0,101.3
Курганская область,2009,52.0,1.6081796236835644,117058.7,104.2,59.9,62.0,77.0
Курганская область,2010,50.0,0.5780161945037092,129013.4,78.1,60.3,62.0,113.2
Курганская область,2011,46.0,0.9540430192238994,151306.2,148.1,60.5,63.0,110.4
Курганская область,2012,42.55,0.340168646072628,164761.4,69.7,60.9,63.9,110.5
Курганская область,2013,39.79,0.4284057689901513,191153.9,114.8,61.5,58.78,100.8
Курганская область,2014,38.54,0.3684557011525433,197378.8,85.5,62.0,52.93,97.7
Курганская область,2015,37.86,0.0294167345180434,210550.4,107.1,62.4,54.25,101.8
Курганская область,2016,37.97,0.0610157921508319,240205.5,104.5,62.5,49.4,102.2
Курганская область,2017,36.09,0.2507343411807005,252940.7,106.1,62.7,51.74,101.9
Курганская область,2018,33.18,0.3083423666878643,263729.8,92.9,63.1,49.89,101.2
Курганская область,2019,31.79,0.6493756170147003,294094.2,101.9,63.4,46.39,105.4
Курганская область,2020,32.17,0.5442065846698547,302428.2,88.2,63.6,44.35,97.7
Курганская область,2021,31.31,0.0902558352120252,348779.7,88.2,64.0,45.32,104.8
Курганская область,2022,29.02,0.1280870628823808,442701.5,149.0,64.2,43.28,105.4
Курганская область,2023,28.0,0.2637303080663827,502.4,79.7,64.4,44.0,117.1
Курская область,2000,39.0,0.1677489500359656,23677.7,119.7,60.8,320.0,102.5
Курская область,2001,38.0,0.1120335826021022,28946.1,101.5,61.1,308.0,86.3
Курская область,2002,38.0,0.156248813711945,36545.7,108.3,61.4,311.0,103.9
Курская область,2003,35.0,0.1008635566331046,46131.2,98.3,61.7,314.0,119.3
Курская область,2004,35.0,0.0360598697358772,63512.1,102.5,62.0,303.0,104.7
Курская область,2005,34.0,0.104061303389672,72995.3,101.4,62.6,323.0,104.5
Курская область,2006,33.0,0.0827562077248483,88949.4,101.3,63.1,263.0,106.5
Курская область,2007,34.0,0.0574492037981661,111348.4,110.3,63.7,265.0,104.1
Курская область,2008,35.0,0.0612903879170146,146276.4,121.3,64.2,250.0,95.0
Курская область,2009,33.0,0.0332200909941084,141833.5,99.3,64.7,244.0,100.0
Курская область,2010,37.0,0.0432845886827996,171322.1,81.4,65.4,248.0,106.5
Курская область,2011,50.0,0.0666948071980333,203725.7,147.2,65.9,240.0,104.6
Курская область,2012,45.21,0.0614822505339162,221698.6,108.0,66.4,233.39,103.3
Курская область,2013,15.8,0.0422629975049946,242938.0,115.1,66.5,228.68,100.8
Курская область,2014,14.44,0.0782735302508688,267217.4,113.9,66.8,229.85,105.8
Курская область,2015,36.06,0.0220151727273104,301870.7,101.0,67.2,218.58,104.3
Курская область,2016,36.4,0.038963482091431,338778.3,112.5,67.5,202.39,104.9
Курская область,2017,38.3,0.0785248436233044,362712.1,108.5,67.7,208.62,103.2
Курская область,2018,35.93,0.0601429488437374,407221.0,100.4,68.0,206.14,100.9
Курская область,2019,35.57,0.0438039109079014,450211.6,107.4,68.3,210.84,102.0
Курская область,2020,35.08,0.0,477362.7,108.1,68.4,205.95,103.2
Курская область,2021,32.47,0.0,634611.0,88.9,68.5,219.26,107.7
Курская область,2022,33.07,2.504307691151776,620432.2,118.9,68.5,206.81,94.5
Курская область,2023,33.0,1.8920366554404917,702.7,105.0,68.8,199.0,111.3
Ленинградская область,2000,424.0,1.0498765220465731,33265.1,102.6,66.3,5329.0,109.1
Ленинградская область,2001,410.0,1.4260260537368208,45248.2,104.4,66.4,6294.0,104.78
Ленинградская область,2002,398.0,1.464710017203711,56738.1,109.3,66.4,5681.0,119.75
Ленинградская область,2003,387.0,3.3279608619866146,72578.7,91.0,66.4,5930.0,113.3
Ленинградская область,2004,383.0,3.398695665234762,99230.0,97.7,66.2,5775.0,123.2
Ленинградская область,2005,356.0,1.4930080241693842,122024.2,102.0,66.0,5879.0,108.1
Ленинградская область,2006,355.0,2.0772726347392974,157122.1,99.0,65.9,5937.0,126.4
Ленинградская область,2007,324.0,1.3989170905217188,182657.9,102.2,66.0,6255.0,102.8
Ленинградская область,2008,324.0,0.9584328361713886,226011.0,102.2,65.9,6849.0,101.0
Ленинградская область,2009,313.0,0.4765090713076693,252890.9,103.5,65.8,6149.0,96.9
Ленинградская область,2010,291.0,0.1192777048184625,286435.4,102.3,65.7,6623.0,114.3
Ленинградская область,2011,231.0,0.4735322633880683,336137.4,109.3,64.7,6630.0,110.6
Ленинградская область,2012,238.71,2.505114773544122,382821.7,107.6,65.1,5530.28,105.7
Ленинградская область,2013,277.31,2.116980299485073,381510.3,104.2,65.3,4522.26,95.6
Ленинградская область,2014,267.25,9.752502181066635,390916.1,101.0,65.4,5461.34,100.2
Ленинградская область,2015,269.17,0.1608576150701387,468084.8,101.8,65.3,5706.1,99.6
Ленинградская область,2016,272.18,5.19486674769414,520669.6,95.7,65.0,5850.95,103.7
Ленинградская область,2017,334.06,3.0960635814931883,539983.3,99.8,64.3,5527.22,100.5
Ленинградская область,2018,329.25,2.7915179998264272,606440.8,103.9,63.8,5569.92,104.9
Ленинградская область,2019,302.19,2.0668024538449443,633301.4,101.0,66.2,4958.75,105.1
Ленинградская область,2020,301.58,1.899402999076488,630638.4,100.9,66.8,4326.35,98.9
Ленинградская область,2021,299.07,0.2980435381535615,739732.7,101.1,67.1,3436.32,107.9
Ленинградская область,2022,290.52,0.2647001591104004,822793.9,103.4,67.1,3538.66,96.8
Ленинградская область,2023,278.0,0.5132442632124256,943.6,101.1,67.5,3403.0,107.7
Липецкая область,2000,149.0,0.4690342995400237,39050.9,108.2,64.1,294.0,114.1
Липецкая область,2001,146.0,0.8342807879922728,41308.6,111.7,64.1,292.0,107.2
Липецкая область,2002,137.0,0.8569920881705045,58065.7,102.3,64.3,285.0,114.2
Липецкая область,2003,126.0,0.7426702922531663,79661.2,110.9,64.4,264.0,106.5
Липецкая область,2004,125.0,0.7786029314782305,117959.2,101.1,64.5,258.0,104.6
Липецкая область,2005,127.0,1.458088603968197,121376.2,109.6,63.1,251.0,102.3
Липецкая область,2006,124.0,2.1514615712400444,150197.1,106.3,63.2,245.0,111.6
Липецкая область,2007,114.0,0.8176821727039412,176534.6,111.4,63.3,230.0,103.7
Липецкая область,2008,140.0,1.4312447549860865,219135.8,120.9,63.4,224.0,94.3
Липецкая область,2009,101.0,3.827877632774793,192165.2,100.8,63.5,177.0,86.9
Липецкая область,2010,87.0,3.930561842146027,211610.6,77.6,63.7,175.0,110.7
Липецкая область,2011,82.0,3.2471801507069777,245988.4,145.0,63.7,169.0,111.1
Липецкая область,2012,86.78,1.3544341603668308,251272.6,102.6,63.8,164.85,107.4
Липецкая область,2013,80.05,1.5022183477601436,270671.8,112.6,63.7,163.76,100.3
Липецкая область,2014,79.09,1.868296422893382,341690.5,100.3,63.7,156.21,102.9
Липецкая область,2015,75.74,2.728714150714163,384877.6,106.8,63.6,156.46,100.8
Липецкая область,2016,83.03,2.8686122169278234,429064.8,107.7,63.4,152.79,103.4
Липецкая область,2017,76.83,1.3166425474212191,447280.1,105.5,63.4,156.93,102.9
Липецкая область,2018,69.34,2.547573925845331,519293.4,106.7,63.4,163.38,103.7
Липецкая область,2019,75.5,1.5403860090533203,491045.2,111.4,63.4,161.92,96.4
Липецкая область,2020,68.21,1.3180814432974686,535237.5,106.4,63.3,155.92,102.5
Липецкая область,2021,65.47,4.459531833502455,745419.3,88.9,63.0,163.81,106.0
Липецкая область,2022,64.6,3.7530438059834776,700248.9,114.9,63.0,153.08,96.8
Липецкая область,2023,67.0,2.395950845678476,847.5,103.5,62.9,153.0,109.2
Магаданская область,2000,47.0,0.0013989776701641,65704.6,83.7,91.4,90.0,99.8
Магаданская область,2001,49.0,0.0619067608852818,89987.5,90.6,91.9,96.0,106.3
Магаданская область,2002,42.0,0.0228739474766254,121272.5,123.7,92.6,92.0,109.4
Магаданская область,2003,40.0,0.4076149289440473,135180.6,118.9,93.1,86.0,93.7
Магаданская область,2004,34.0,0.0892480588973805,139840.3,90.4,93.6,84.0,95.6
Магаданская область,2005,28.0,0.3583573200627213,157798.9,95.6,94.1,73.0,102.6
Магаданская область,2006,28.0,0.6367875730694288,185017.6,103.9,94.4,72.0,88.8
Магаданская область,2007,29.0,1.0582776431144236,213449.6,103.0,94.6,75.0,91.0
Магаданская область,2008,30.0,0.32066091530373,258848.1,104.6,94.9,77.0,102.1
Магаданская область,2009,29.0,0.8894193448708555,299403.8,102.5,95.2,77.0,105.8
Магаданская область,2010,27.0,0.7167848882164788,377895.0,97.6,95.5,77.0,103.9
Магаданская область,2011,26.0,1.211876266034123,464366.7,94.5,95.6,79.0,108.3
Магаданская область,2012,16.78,2.770248884502135,511959.6,110.1,95.7,79.44,110.0
Магаданская область,2013,16.26,2.3071607171177613,589096.7,86.2,95.8,83.09,103.0
Магаданская область,2014,14.25,2.316007955698971,652303.2,99.2,95.9,83.11,109.0
Магаданская область,2015,12.92,1.879289306771236,858967.0,114.2,95.9,74.85,107.5
Магаданская область,2016,13.6,0.5823883316718633,1060991.5,100.9,96.0,73.2,100.8
Магаданская область,2017,14.51,1.4605415344464543,1125991.6,111.4,96.2,71.82,107.7
Магаданская область,2018,11.14,0.4194213774858167,1247255.2,96.0,96.3,83.62,109.6
Магаданская область,2019,4.87,0.5686703675910583,1539596.1,89.4,96.4,78.42,112.6
Магаданская область,2020,14.15,0.5298885483226137,2066380.4,103.9,96.4,75.24,105.7
Магаданская область,2021,13.78,3.201527925447184,2343311.4,94.1,96.4,75.33,106.0
Магаданская область,2022,13.52,1.6830995656799477,2338219.1,107.7,96.5,74.3,101.1
Магаданская область,2023,14.0,3.630201719317176,3017.5,106.0,96.5,74.0,92.9
Московская область,2000,638.0,0.0922342405157855,26687.7,109.9,79.5,1900.0,111.7
Московская область,2001,618.0,0.454145950239752,35569.3,91.4,79.4,1847.0,104.5
Московская область,2002,630.0,0.3375911167918197,47323.5,102.3,79.3,1787.0,107.2
Московская область,2003,626.0,0.288040529079498,62023.3,101.1,79.4,1710.0,129.48
Московская область,2004,643.0,0.0815763099107555,79833.2,99.2,80.2,1609.0,115.8
Московская область,2005,635.0,0.0687555794894261,104738.3,101.3,80.1,1486.0,114.1
Московская область,2006,617.0,0.1654422612850785,137092.1,99.7,80.3,1595.0,113.0
Московская область,2007,597.0,0.0535600859460568,188565.3,101.1,79.9,1512.0,106.2
Московская область,2008,588.0,0.0802533502901103,237595.8,98.4,80.2,1618.0,106.0
Московская область,2009,565.0,0.0220801090502507,217339.7,105.4,80.2,1635.0,86.8
Московская область,2010,1309.0,0.07395305704892,259421.5,82.6,80.1,2482.0,107.1
Московская область,2011,1220.0,0.0326256033353251,303386.9,125.1,80.0,2747.0,109.7
Московская область,2012,1214.41,0.0555472170907595,322242.7,94.2,80.0,2345.25,107.9
Московская область,2013,1190.05,0.219663165618041,341618.7,95.8,79.9,2261.72,105.2
Московская область,2014,1121.91,0.0809121895364156,361238.5,99.2,79.8,2183.47,104.1
Московская область,2015,1077.78,0.0535586634150334,411183.7,105.6,79.7,2030.24,101.1
Московская область,2016,1066.87,0.0190384228621093,533624.2,99.2,79.6,1890.04,114.7
Московская область,2017,1035.69,0.1560281644390322,534666.5,95.8,79.4,1806.14,108.0
Московская область,2018,956.19,0.0549470302833268,569142.7,102.5,79.2,1718.93,109.8
Московская область,2019,870.35,0.0340324784391726,625811.9,109.4,79.0,1747.9,113.1
Московская область,2020,853.02,0.0784106366234366,643208.1,98.0,78.7,1645.4,109.7
Московская область,2021,902.13,0.063438208829429,802156.1,104.8,78.5,1706.21,121.9
Московская область,2022,807.74,0.1705930127367186,901231.0,102.4,78.3,1731.29,102.9
Московская область,2023,806.0,0.1970413776306279,1072.3,103.1,78.0,1779.0,116.1
Мурманская область,2000,429.0,0.5905613494150721,59157.8,104.1,92.3,1720.0,104.67
Мурманская область,2001,370.0,2.4280965723050305,62965.4,95.5,92.3,1722.0,101.1
Мурманская область,2002,366.0,1.323950185111052,76236.9,94.0,92.2,1663.0,96.92
Мурманская область,2003,339.0,1.0688612613998545,91442.1,84.3,92.3,1666.0,104.02
Мурманская область,2004,374.0,0.5694643600166438,144469.3,90.2,92.0,1739.0,104.3
Мурманская область,2005,394.0,0.4905704966200095,156652.5,105.5,92.3,1627.0,100.2
Мурманская область,2006,329.0,0.4284473872267229,190124.3,110.1,92.5,1732.0,101.5
Мурманская область,2007,383.0,0.1851129996878663,233765.5,105.8,92.6,1605.0,98.2
Мурманская область,2008,356.0,0.5758750967910974,263755.5,104.0,92.7,1622.0,94.6
Мурманская область,2009,352.0,0.7975716429608056,251956.9,100.9,92.7,1610.0,96.5
Мурманская область,2010,339.0,1.2445303674751722,292926.1,96.3,92.8,1502.0,103.2
Мурманская область,2011,334.0,0.708851806041961,334720.5,99.8,92.8,1586.0,99.5
Мурманская область,2012,375.84,0.4687971866454439,365920.8,101.7,92.9,1472.39,102.7
Мурманская область,2013,333.59,0.7808370248813763,402526.1,77.0,93.0,1593.08,99.8
Мурманская область,2014,331.01,1.8941999160502945,438309.7,81.1,93.0,1560.96,99.8
Мурманская область,2015,328.28,3.2423709985514817,543412.9,77.0,93.0,1373.41,106.8
Мурманская область,2016,319.78,0.816656299216392,640507.9,76.2,93.0,1393.24,106.6
Мурманская область,2017,317.91,0.9283362900978152,666306.4,103.5,93.0,1418.22,111.6
Мурманская область,2018,297.86,8.772443414902366,734566.5,102.6,93.0,1446.87,101.5
Мурманская область,2019,266.47,10.995544392973216,883121.0,94.4,93.0,1368.91,108.0
Мурманская область,2020,127.24,1.8342153128918135,1164918.2,106.5,93.1,1422.94,101.0
Мурманская область,2021,131.06,0.9532539851295088,1646950.9,106.5,93.1,1327.02,105.7
Мурманская область,2022,110.83,0.8487047680418766,1735233.4,89.6,93.0,1435.35,95.9
Мурманская область,2023,124.0,1.277163501854949,1714.6,106.1,93.0,1586.0,97.5
Ненецкий автономный округ,2000,1.12,0.4750083864475009,25320.1,90.6,62.3,4.72,108.99
Ненецкий автономный округ,2001,1.01,1.4095678882484115,32037.2,100.6,62.8,5.0,143.5
Ненецкий автономный округ,2002,1.11,1.8554135721566916,41322.8,90.6,63.4,6.0,111.9
Ненецкий автономный округ,2003,1.21,0.1433072689951518,599201.7,92.6,63.9,7.0,143.92
Ненецкий автономный округ,2004,1.19,0.6807488373620433,944926.1,98.3,64.7,7.0,142.6
Ненецкий автономный округ,2005,1.2,2.1194676452369614,1067007.7,96.9,65.3,11.0,115.4
Ненецкий автономный округ,2006,1.35,10.279376163596456,1605587.4,109.0,66.0,12.0,104.8
Ненецкий автономный округ,2007,1.57,0.5073994539970543,2336326.5,89.6,66.6,11.0,105.2
Ненецкий автономный округ,2008,1.59,1.357505323777499,2184301.8,106.6,67.2,18.0,107.7
Ненецкий автономный округ,2009,1.63,0.0627257203038615,3100503.1,99.9,67.0,28.0,128.1
Ненецкий автономный округ,2010,0.3,0.5641571922649685,3465406.9,112.1,67.9,30.0,96.5
Ненецкий автономный округ,2011,0.2,0.6164945811342836,3926593.4,109.7,69.0,30.0,83.9
Ненецкий автономный округ,2012,0.11,0.1536330651040224,3721264.5,106.6,69.9,28.97,89.3
Ненецкий автономный округ,2013,0.13,0.1690897163599742,4099188.4,81.5,70.7,33.48,96.5
Ненецкий автономный округ,2014,0.01,0.6312487366972213,4426058.3,95.7,71.7,9.22,105.9
Ненецкий автономный округ,2015,0.01,0.4733709371086761,5359728.6,110.6,72.3,14.09,110.2
Ненецкий автономный округ,2016,0.41,0.5955465146262499,6173733.5,132.1,72.3,13.93,115.3
Ненецкий автономный округ,2017,0.31,1.7495429677991232,6302095.4,88.7,72.6,14.9,96.9
Ненецкий автономный округ,2018,0.42,0.3428540753176363,7658795.0,103.3,72.9,15.13,96.5
Ненецкий автономный округ,2019,0.12,0.094280647373557,7954412.5,95.3,73.4,15.58,98.9
Ненецкий автономный округ,2020,0.09,1.5823730688680968,5547322.7,87.2,73.8,21.67,88.9
Ненецкий автономный округ,2021,0.0,0.0005801338240491,9866203.9,125.6,74.2,20.51,102.4
Ненецкий автономный округ,2022,0.0,0.0615619129271595,11786365.0,95.9,74.5,22.05,112.1
Ненецкий автономный округ,2023,0.0,0.1028936765076861,11995.4,102.8,74.8,20.0,93.7
Нижегородская область,2000,580.0,0.6300258243468477,29090.1,103.3,78.0,1295.0,92.6
Нижегородская область,2001,545.0,0.2998351890470699,41773.2,104.1,78.1,1268.0,98.0
Нижегородская область,2002,468.0,0.2711774812455913,48321.6,97.2,78.2,1235.0,104.3
Нижегородская область,2003,461.0,0.4863900138213661,59149.2,100.2,78.3,1202.0,106.4
Нижегородская область,2004,421.0,0.3311058639375468,69629.5,98.1,78.1,1188.0,101.6
Нижегородская область,2005,425.0,0.3250611479839599,87354.7,105.5,78.3,1197.0,103.3
Нижегородская область,2006,420.0,0.2909154200791482,110662.7,101.1,78.4,1174.0,108.9
Нижегородская область,2007,410.0,0.3222167665242504,140297.9,96.1,78.5,1193.0,100.5
Нижегородская область,2008,410.0,0.3443966855460377,175587.1,103.3,78.6,1150.0,90.4
Нижегородская область,2009,379.0,0.1803025457628791,164071.8,104.1,78.8,1121.0,77.9
Нижегородская область,2010,472.0,0.275491382660604,196792.5,78.3,78.9,1112.0,116.7
Нижегородская область,2011,461.0,0.319824617851666,233524.0,121.7,79.0,1064.0,107.7
Нижегородская область,2012,451.37,0.641493216242547,256111.3,97.9,79.1,1040.73,104.1
Нижегородская область,2013,524.59,0.6307580562527157,282292.6,97.2,79.2,997.14,104.5
Нижегородская область,2014,396.93,0.8349906053741005,309244.3,104.9,79.4,880.15,100.6
