Регион,Год,Заболеваемость_инфекции_на_1000,Коэффициент_смертности_населения,Численность_населения,Оборотная_вода_млн_м3
Республика Алтай,2009,40.1,12.2,205.4,13.0
Республика Тыва,2009,64.8,12,307.3,14.0
Республика Хакасия,2009,42.7,13.6,532.7,357.0
Алтайский край,2009,36.0,14.7,2430.7,998.0
Красноярский край,2009,36.4,13.3,2832.9,3325.0
Иркутская область,2009,48.3,14.3,2440.4,2343.0
Кемеровская область — Кузбасс,2009,37.4,16.2,2773.0,4661.0
Новосибирская область,2009,35.1,14,2661.6,884.0
Омская область,2009,47.5,13.8,1984.0,1159.0
Томская область,2009,32.4,12.9,1040.3,819.0
Республика Бурятия,2009,22.3,12.9,969.7,303.0
Республика Саха (Якутия),2009,30.6,9.8,958.3,1004.0
Забайкальский край,2009,30.8,13.8,1109.0,857.0
Камчатский край,2009,48.7,12.5,323.1,19.0
Приморский край,2009,40.7,14,1965.2,1769.0
Хабаровский край,2009,37.1,14.2,1349.2,1400.0
Амурская область,2009,38.8,15.1,834.9,709.0
Магаданская область,2009,59.7,13.5,159.0,368.0
Сахалинская область,2009,55.3,14.7,501.3,282.0
Еврейская автономная область,2009,47.9,15.4,177.5,7.0
Чукотский автономный округ,2009,32.7,12.4,51.2,153.0
Белгородская область,2010,42.5,14.4,1532.4,1596.0
Брянская область,2010,27.8,17,1275.3,79.0
Владимирская область,2010,41.4,18,1441.1,248.0
Воронежская область,2010,20.2,17,2334.8,3060.0
Ивановская область,2010,24.4,18.4,1060.1,226.0
Калужская область,2010,33.1,16.5,1009.2,142.0
Костромская область,2010,30.9,17.7,666.4,124.0
Курская область,2010,26.1,17.6,1125.7,5875.0
Липецкая область,2010,25.5,16.7,1172.0,2092.0
Московская область,2010,25.5,15.4,7106.2,3071.0
Орловская область,2010,21.5,17.4,785.6,323.0
Рязанская область,2010,36.9,18.1,1151.8,1897.0
Смоленская область,2010,26.8,18.4,982.9,5008.0
Тамбовская область,2010,16.5,17.5,1089.7,227.0
Тверская область,2010,36.1,20.1,1350.1,4509.0
Тульская область,2010,28.2,19.3,1550.3,2334.0
Ярославская область,2010,36.8,17.2,1271.0,260.0
г. Москва,2010,26.9,11,11541.1,5813.0
Республика Карелия,2010,46.3,16.2,642.6,1106.0
Республика Коми,2010,49.6,13.1,899.2,1382.0
Архангельская область,2010,41.8,14.6,1224.9,809.0
Ненецкий автономный округ,2010,62.3,11.9,42.1,10.0
Вологодская область,2010,38.0,16.7,1201.2,3536.0
Калининградская область,2010,43.6,14.2,941.8,222.0
Ленинградская область,2010,24.2,15.8,1718.6,1372.0
Мурманская область,2010,36.1,11.9,794.1,920.0
Новгородская область,2010,34.1,20,632.8,568.0
Псковская область,2010,22.5,21.2,671.3,3.6
г. Санкт-Петербург,2010,42.4,13.4,4899.3,676.0
Республика Адыгея (Адыгея),2010,23.1,14.1,439.9,28.0
Республика Калмыкия,2010,25.8,11,288.9,0.0
Краснодарский край,2010,21.5,13.5,5230.0,1475.0
Астраханская область,2010,27.2,13.5,1009.8,261.0
Волгоградская область,2010,30.1,14.7,2607.5,1503.0
Ростовская область,2010,20.9,14.7,4275.2,3464.0
Республика Дагестан,2010,40.9,5.9,2914.2,22.0
Республика Ингушетия,2010,51.4,4.5,414.5,0.1
Кабардино-Балкарская Республика,2010,11.0,9.4,859.8,9.0
Карачаево-Черкесская Республика,2010,26.3,10,477.4,27.0
Республика Северная Осетия — Алания,2010,20.1,10.9,712.5,0.3
Чеченская Республика,2010,25.1,5.6,1275.1,4.0
Ставропольский край,2010,16.4,12.4,2785.5,914.0
Республика Башкортостан,2010,31.1,13.4,4072.1,5317.0
Республика Марий Эл,2010,36.5,15.2,695.5,185.0
Республика Мордовия,2010,29.9,15.7,833.3,270.0
Республика Татарстан (Татарстан),2010,35.3,13.1,3787.5,5383.0
Удмуртская Республика,2010,48.6,13.9,1520.4,419.0
Чувашская Республика — Чувашия,2010,37.4,14.5,1250.5,281.0
Пермский край,2010,46.5,15.3,2633.5,2020.0
Кировская область,2010,37.8,16.7,1338.8,1103.0
Нижегородская область,2010,30.3,17.9,3307.6,1386.0
Оренбургская область,2010,31.1,14.5,2031.5,1802.0
Пензенская область,2010,29.1,15.9,1384.0,68.0
Самарская область,2010,34.4,15.2,3215.3,3309.0
Саратовская область,2010,21.9,15.7,2519.3,7208.0
Ульяновская область,2010,53.4,15.7,1290.5,868.0
Курганская область,2010,37.0,16,908.8,353.0
Свердловская область,2010,36.2,14.3,4297.3,13297.0
Тюменская область,2010,41.3,9,3405.3,11475.0
Ханты-Мансийский автономный округ — Югра,2010,49.3,6.8,1537.2,10171.0
Ямало-Ненецкий автономный округ,2010,52.1,5.5,524.9,74.0
Челябинская область,2010,49.0,14.4,3475.6,9210.0
Республика Алтай,2010,33.3,12.2,206.5,16.0
Республика Тыва,2010,48.8,11.6,308.1,21.0
Республика Хакасия,2010,36.4,13.8,532.3,357.0
Алтайский край,2010,34.1,15,2417.3,859.0
Красноярский край,2010,31.2,13.5,2829.1,3251.0
Иркутская область,2010,50.0,14.4,2428.0,2544.0
Кемеровская область — Кузбасс,2010,36.7,16.1,2761.3,4524.0
Новосибирская область,2010,33.5,13.9,2666.5,978.0
Омская область,2010,42.9,13.9,1976.6,1202.0
Томская область,2010,32.0,12.6,1048.5,882.0
Республика Бурятия,2010,19.1,12.7,971.5,286.0
Республика Саха (Якутия),2010,30.5,9.8,958.2,1063.0
Забайкальский край,2010,33.5,13.8,1106.2,820.0
Камчатский край,2010,48.2,12.6,321.7,10.0
Приморский край,2010,39.2,14.3,1953.5,1846.0
Хабаровский край,2010,37.8,14.6,1342.9,1339.0
Амурская область,2010,35.6,15.3,828.7,719.0
Магаданская область,2010,60.7,13,156.5,405.0
Сахалинская область,2010,55.7,14.9,496.7,273.0
Еврейская автономная область,2010,42.7,15.5,176.3,6.0
Чукотский автономный округ,2010,40.5,13.8,50.4,174.0
Белгородская область,2011,48.4,14.1,1536.6,1691.0
Брянская область,2011,27.7,16.1,1263.7,102.0
Владимирская область,2011,42.4,17.1,1433.6,314.0
Воронежская область,2011,19.3,15.9,2332.7,2799.0
Ивановская область,2011,25.1,17,1049.1,196.0
Калужская область,2011,27.1,15.4,1013.8,141.0
Костромская область,2011,30.0,16.6,657.8000000000001,97.0
Курская область,2011,25.4,16.8,1121,6025.0
Липецкая область,2011,30.3,15.2,1168.1,2086.0
Московская область,2011,26.2,14.1,7243.7,3060.0
Орловская область,2011,25.4,16.3,780.9,383.0
Рязанская область,2011,35.0,16.4,1149.6,1964.0
Смоленская область,2011,24.6,16.8,978.3,4960.0
Тамбовская область,2011,18.0,16.4,1082.3,232.0
Тверская область,2011,39.9,18.7,1341.8,4595.0
Тульская область,2011,26.7,17.7,1550.1,2221.0
Ярославская область,2011,36.6,15.8,1269.1,256.0
г. Москва,2011,26.8,9.6,11668.7,5552.0
Республика Карелия,2011,46.7,14.8,635.1,1064.0
Республика Коми,2011,47.9,12.4,883.1,1462.0
Архангельская область,2011,41.9,13.9,1204.1,813.0
Ненецкий автономный округ,2011,81.7,10.5,42.2,9.0
Вологодская область,2011,37.6,15.7,1198.4,3616.0
Калининградская область,2011,36.3,13.3,947,457.0
Ленинградская область,2011,22.9,14.6,1742.6,1162.0
Мурманская область,2011,35.2,11.6,782.2,1058.0
Новгородская область,2011,34.1,18.4,629.2,524.0
Псковская область,2011,27.4,19.4,665.4,3.3
г. Санкт-Петербург,2011,42.0,12.5,4974.8,742.0
Республика Адыгея (Адыгея),2011,26.6,13.7,445,28.0
Республика Калмыкия,2011,25.4,10.2,286.4,0.0
Краснодарский край,2011,21.5,13.5,5297.2,1903.0
Астраханская область,2011,25.0,13,1011.5,243.0
Волгоградская область,2011,28.6,13.8,2598.6,1600.0
Ростовская область,2011,20.0,14.3,4264,3895.0
Республика Дагестан,2011,37.8,5.8,2934.6,19.0
Республика Ингушетия,2011,45.6,4,429.3,0.0
Кабардино-Балкарская Республика,2011,10.6,9.4,861.7,14.0
Карачаево-Черкесская Республика,2011,22.0,9.9,474.8,28.0
Республика Северная Осетия — Алания,2011,19.5,10.9,708.9,32.0
Чеченская Республика,2011,24.2,5.3,1302.4,5.0
Ставропольский край,2011,18.4,12.3,2797.9,879.0
Республика Башкортостан,2011,30.4,13.4,4072.6,5349.0
Республика Марий Эл,2011,33.1,14.2,693,200.0
Республика Мордовия,2011,30.8,14.8,826.3,302.0
Республика Татарстан (Татарстан),2011,36.6,12.4,3812.4,5502.0
Удмуртская Республика,2011,42.7,13.4,1514.8,357.0
Чувашская Республика — Чувашия,2011,35.9,13.6,1245.5,484.0
Пермский край,2011,42.9,14.7,2628.6,2108.0
Кировская область,2011,35.2,15.9,1319.7,1028.0
Нижегородская область,2011,29.5,16.4,3293.6,1572.0
Оренбургская область,2011,30.0,14.3,2017,1887.0
Пензенская область,2011,30.3,15.2,1375.2,84.0
Самарская область,2011,28.5,14.4,3217,3159.0
Саратовская область,2011,22.2,14.5,2514.9,7344.0
Ульяновская область,2011,47.3,14.8,1280.8,583.0
Курганская область,2011,40.7,15.7,893.2,340.0
Свердловская область,2011,33.2,14.1,4307.5,12621.0
Тюменская область,2011,38.8,8.5,3461.1,10577.0
Ханты-Мансийский автономный округ — Югра,2011,45.4,6.5,1562.2,9289.0
Ямало-Ненецкий автономный округ,2011,51.0,5.4,532.9,79.0
Челябинская область,2011,46.1,14.2,3480.3,9300.0
Республика Алтай,2011,38.2,12.2,207.4,12.0
Республика Тыва,2011,49.2,11,309.6,20.0
Республика Хакасия,2011,36.5,13.4,532.5,402.0
Алтайский край,2011,32.2,14.6,2396.8,860.0
Красноярский край,2011,30.7,13,2839,3371.0
Иркутская область,2011,47.9,14,2425,2441.0
Кемеровская область — Кузбасс,2011,35.4,15.5,2749.7,4759.0
Новосибирская область,2011,48.9,13.6,2688.3,894.0
Омская область,2011,45.0,13.5,1972.3,1258.0
Томская область,2011,36.3,12.2,1057.2,896.0
Республика Бурятия,2011,20.4,12.7,971.3,302.0
Республика Саха (Якутия),2011,26.9,9.4,956.3,1539.0
Забайкальский край,2011,34.5,13.3,1095.5,878.0
Камчатский край,2011,51.4,12.1,318.3,13.0
Приморский край,2011,35.9,14.1,1948.4,2068.0
Хабаровский край,2011,37.9,14.5,1341.6,1310.0
Амурская область,2011,37.5,14.8,820.6,755.0
Магаданская область,2011,53.2,13,154.3,390.0
Сахалинская область,2011,49.4,14.2,493.7,263.0
Еврейская автономная область,2011,51.4,15.5,173.9,4.7
Чукотский автономный округ,2011,36.7,11.08,50.7,170.0
Белгородская область,2012,47.6,14,1541.9,1630.71
Брянская область,2012,28.3,16.2,1252.2,57.19
Владимирская область,2012,43.6,16.7,1425,312.27
Воронежская область,2012,18.5,15.6,2332.9,3459.11
Ивановская область,2012,31.6,17,1039.2,195.83
Калужская область,2012,28.6,15.6,1016.7,142.47
Костромская область,2012,28.3,16.2,651.1,128.53
Курская область,2012,27.7,16.6,1118.2,6135.11
Липецкая область,2012,30.1,15.3,1166.5,2157.48
Московская область,2012,24.7,13.7,7385.5,3065.09
Орловская область,2012,29.8,16.4,775.1,347.83
Рязанская область,2012,34.3,16.4,1147,1916.19
Смоленская область,2012,22.9,16.8,970.8,4999.37
Тамбовская область,2012,18.7,16.2,1075.4,219.06
Тверская область,2012,39.1,18.3,1333.3,5896.41
Тульская область,2012,27.2,17.7,1543.6,2174.24
Ярославская область,2012,34.1,15.9,1267.8,250.58
г. Москва,2012,24.9,10,11849.5,4615.59
Республика Карелия,2012,47.8,15.6,625.7,1018.38
Республика Коми,2012,51.9,12.4,867.2,1368.76
Архангельская область,2012,41.9,13.8,1183.6,848.04
Ненецкий автономный округ,2012,103.1,10.3,42.3,9.81
Вологодская область,2012,37.5,15.1,1196,3657.81
Калининградская область,2012,36.2,13.2,955.3,443.92
Ленинградская область,2012,22.6,14.6,1768.5,1089.53
Мурманская область,2012,32.8,11.4,769.2,1103.05
Новгородская область,2012,32.7,17.9,624.9,532.09
Псковская область,2012,28.9,19.6,658.3,4.52
г. Санкт-Петербург,2012,42.3,12.3,5071.5,860.62
Республика Адыгея (Адыгея),2012,27.8,13.2,449.7,27.91
Республика Калмыкия,2012,28.3,10.1,283.6,0.0
Краснодарский край,2012,22.7,13.1,5356.1,1885.47
Астраханская область,2012,24.1,12.7,1007.5,71.89
Волгоградская область,2012,30.6,13.6,2590.7,1564.44
Ростовская область,2012,21.2,14,4261.4,3743.15
Республика Дагестан,2012,36.3,5.7,2953.6,19.28
Республика Ингушетия,2012,46.2,3.7,440.1,0.0
Кабардино-Балкарская Республика,2012,12.1,8.9,865,12.67
Карачаево-Черкесская Республика,2012,28.4,9.8,472.3,28.81
Республика Северная Осетия — Алания,2012,17.8,10.6,706.2,32.17
Чеченская Республика,2012,23.4,5.5,1325.2,4.43
Ставропольский край,2012,21.0,12,2812.9,868.23
Республика Башкортостан,2012,30.9,13.2,4078,5336.5
Республика Марий Эл,2012,34.6,13.7,691.3,196.03
Республика Мордовия,2012,26.9,14.5,820.4,301.66
Республика Татарстан (Татарстан),2012,35.7,12.1,3841.4,5075.75
Удмуртская Республика,2012,45.3,12.9,1511,359.64
Чувашская Республика — Чувашия,2012,35.8,13.4,1240.5,549.96
Пермский край,2012,44.1,14.2,2629.5,1968.69
Кировская область,2012,34.0,15.8,1302.5,1058.86
Нижегородская область,2012,34.0,16.1,3283.2,1469.8
Оренбургская область,2012,31.3,14.1,2002.7,1883.33
Пензенская область,2012,30.0,15,1365.8,81.72
Самарская область,2012,34.9,13.9,3219.2,3185.22
Саратовская область,2012,22.6,14.3,2515.7,7281.47
Ульяновская область,2012,49.6,14.2,1272.1,771.13
Курганская область,2012,17.3,16.1,879.7,347.77
Свердловская область,2012,33.1,14,4315.7,11358.73
Тюменская область,2012,37.8,8.4,3514,10194.18
Ханты-Мансийский автономный округ — Югра,2012,41.9,6.3,1586,8772.67
Ямало-Ненецкий автономный округ,2012,45.2,5.4,534.1,105.7
Челябинская область,2012,42.7,14.2,3485.7,10546.88
Республика Алтай,2012,40.4,11.6,208.3,18.9
Республика Тыва,2012,50.7,11.2,311.2,37.62
Республика Хакасия,2012,38.4,13.4,533.7,413.66
Алтайский край,2012,31.8,14.7,2378,860.02
Красноярский край,2012,36.1,13,2847.7,3355.49
Иркутская область,2012,40.9,13.9,2423.2,2767.36
Кемеровская область — Кузбасс,2012,34.5,15.2,2740.2,5114.46
Новосибирская область,2012,34.2,13.6,2712.5,1016.09
Омская область,2012,45.2,13.8,1968.8,1453.54
Томская область,2012,32.9,11.9,1063.2,784.33
Республика Бурятия,2012,22.5,12.4,971.1999999999999,259.79
Республика Саха (Якутия),2012,27.8,9.3,956.4,1271.75
Забайкальский край,2012,29.4,13.2,1087.4,970.46
Камчатский край,2012,47.9,11.8,316.8,12.43
Приморский край,2012,33.9,13.7,1943.3,2121.04
Хабаровский край,2012,41.1,13.7,1340.5,1357.12
Амурская область,2012,35.1,14.8,815.2,751.85
Магаданская область,2012,60.7,12.7,152,443.31
Сахалинская область,2012,49.1,13.9,489.7,277.08
Еврейская автономная область,2012,53.1,15.3,171.7,6.25
Чукотский автономный округ,2012,28.0,11.475,50.3,166.3
Белгородская область,2013,48.6,13.8,1545.5,1654.6
Брянская область,2013,34.5,15.9,1240.6,38.55
Владимирская область,2013,46.7,16.6,1418.2,247.96
Воронежская область,2013,18.6,15.5,2332.9,3464.39
Ивановская область,2013,30.9,16.5,1028.5,185.15
Калужская область,2013,27.5,15,1020.9,135.62
Костромская область,2013,28.1,16.3,644.6,252.57
Курская область,2013,25.0,16.2,1117.3,5273.18
Липецкая область,2013,26.5,15.1,1166.1,2181.56
Московская область,2013,21.4,13.3,7519.7,2906.03
Орловская область,2013,29.4,16.3,768.9,320.06
Рязанская область,2013,33.6,15.7,1144.4,1908.14
Смоленская область,2013,29.1,16.5,961.4,4712.96
Тамбовская область,2013,17.3,16.1,1068.7,223.93
Тверская область,2013,35.0,18,1324.1,6381.73
Тульская область,2013,25.1,17.2,1538.3,2584.46
Ярославская область,2013,30.4,15.8,1265.9,249.81
г. Москва,2013,22.1,9.7,12036.4,4457.15
Республика Карелия,2013,39.1,15,615.9,889.55
Республика Коми,2013,50.9,12.2,852.1,1454.54
Архангельская область,2013,40.9,13.6,1163.7,836.92
Ненецкий автономный округ,2013,84.6,10.8,42.2,13.87
Вологодская область,2013,37.4,15,1193,3671.5
Калининградская область,2013,34.3,13.1,964,480.63
Ленинградская область,2013,20.1,14.3,1789.5,1285.04
Мурманская область,2013,37.4,11.2,754.1,943.19
Новгородская область,2013,32.2,17.9,621,558.27
Псковская область,2013,27.1,18.7,651.8,4.44
г. Санкт-Петербург,2013,38.7,11.7,5195.7,948.96
Республика Адыгея (Адыгея),2013,24.7,12.9,454.4,27.9
Республика Калмыкия,2013,24.3,9.9,281.3,0.21
Краснодарский край,2013,22.5,12.7,5443.4,1836.97
Астраханская область,2013,23.7,12.3,1007.4,229.23
Волгоградская область,2013,28.7,13.4,2580.7,1417.86
Ростовская область,2013,19.2,13.7,4255.7,3758.13
Республика Дагестан,2013,28.8,5.5,2975.1,19.4
Республика Ингушетия,2013,60.7,3.5,449.6,0.0
Кабардино-Балкарская Республика,2013,10.7,8.9,867.4,16.81
Карачаево-Черкесская Республика,2013,26.5,9.5,470.5,26.68
Республика Северная Осетия — Алания,2013,15.2,10.5,703.9,21.27
Чеченская Республика,2013,21.4,4.9,1347,4.39
Ставропольский край,2013,20.0,11.6,2827.6,849.11
Республика Башкортостан,2013,29.1,13.1,4095.3,5117.32
Республика Марий Эл,2013,34.4,13.7,690,193.85
Республика Мордовия,2013,27.9,14.8,815,257.19
Республика Татарстан (Татарстан),2013,33.2,12,3867.6,4656.53
Удмуртская Республика,2013,41.7,12.8,1507.3,337.6
Чувашская Республика — Чувашия,2013,35.4,13.2,1235.2,475.06
Пермский край,2013,37.1,14.1,2628.3,1500.9
Кировская область,2013,33.8,15.6,1286,1097.29
Нижегородская область,2013,31.5,15.9,3271.6,1515.48
Оренбургская область,2013,27.7,14,1988.2,1863.74
Пензенская область,2013,29.9,14.7,1356.6,81.15
Самарская область,2013,34.9,14.3,3220.1,3384.02
Саратовская область,2013,26.0,14.3,2515.2,7567.34
Ульяновская область,2013,39.4,14.4,1264.1,893.03
Курганская область,2013,51.6,16.2,868,321.1
Свердловская область,2013,34.5,13.7,4320.5,10874.11
Тюменская область,2013,38.6,8.2,3551.2,10322.91
Ханты-Мансийский автономный округ — Югра,2013,45.3,6.3,1600.3,8694.38
Ямало-Ненецкий автономный округ,2013,42.7,5.2,528.1,335.72
Челябинская область,2013,40.0,13.9,3490.8,9057.33
Республика Алтай,2013,37.9,11.5,208.6,13.32
Республика Тыва,2013,54.1,10.9,312.7,26.1
Республика Хакасия,2013,37.9,13.1,535.2,415.05
Алтайский край,2013,29.9,14.3,2359.5,770.38
Красноярский край,2013,34.6,12.7,2854.7,3322.01
Иркутская область,2013,46.9,13.6,2420.1,2389.35
Кемеровская область — Кузбасс,2013,32.6,14.5,2730.8,5043.35
Новосибирская область,2013,36.6,13.4,2735.8,821.18
Омская область,2013,41.4,13.4,1966.1,1399.27
Томская область,2013,31.7,11.8,1068.6,759.44
Республика Бурятия,2013,19.8,11.8,972.8,262.14
Республика Саха (Якутия),2013,34.6,8.7,956.2,1264.14
Забайкальский край,2013,29.9,12.6,1078.8,1066.58
Камчатский край,2013,56.7,11.5,314.3,11.22
Приморский край,2013,35.9,13.5,1932.6,1991.76
Хабаровский край,2013,37.6,13.3,1337.5,1387.5
Амурская область,2013,34.3,13.9,808.7,784.84
Магаданская область,2013,37.4,12,149.8,449.7
Сахалинская область,2013,46.4,13.2,485.4,217.15
Еврейская автономная область,2013,46.6,14.7,169,5.33
Чукотский автономный округ,2013,31.6,10.628,49.9,170.43
Белгородская область,2014,44.2,14.0,1549.8,1655.7
Брянская область,2014,32.9,16.1,1230.3,35.07
Владимирская область,2014,49.1,16.5,1412.1,247.5
Воронежская область,2014,16.0,15.6,2336.4,3317.57
Ивановская область,2014,28.1,16.7,1017.4,100.74
Калужская область,2014,25.9,15.0,1032.1,122.51
Костромская область,2014,28.1,16.2,638.7,420.67
Курская область,2014,20.1,16.6,1115.2,6145.36
Липецкая область,2014,27.3,15.3,1166.2,2138.74
Московская область,2014,23.2,13.1,7666.3,3112.08
Орловская область,2014,33.2,16.4,763.8,321.14
Рязанская область,2014,37.5,16.1,1140.2,1452.17
Смоленская область,2014,30.1,16.2,956.1,5453.63
Тамбовская область,2014,16.9,16.3,1061.9,223.76
Тверская область,2014,34.6,17.8,1313.5,6156.11
Тульская область,2014,24.8,16.9,1536.0,2095.79
Ярославская область,2014,29.5,15.6,1263.8,225.09
г. Москва,2014,21.7,9.7,12183.2,4227.77
Республика Карелия,2014,43.8,15.1,607.6,978.45
Республика Коми,2014,49.9,12.6,838.1,1497.2
Архангельская область,2014,41.6,13.6,1146.1,854.29
Ненецкий автономный округ,2014,67.0,9.1,42.3,5.84
Вологодская область,2014,38.6,14.8,1190.5,3686.92
Калининградская область,2014,35.6,13.2,970.1,495.4
Ленинградская область,2014,22.6,14.3,1808.8,1037.21
Мурманская область,2014,39.8,11.7,743.9,904.18
Новгородская область,2014,31.5,17.4,616.9,611.4
Псковская область,2014,27.5,18.6,644.7,4.31
г. Санкт-Петербург,2014,41.6,11.5,5276.2,763.12
Республика Адыгея (Адыгея),2014,23.5,13.0,460.0,27.9
Республика Калмыкия,2014,29.0,9.9,279.7,0.21
Краснодарский край,2014,20.9,12.8,5505.8,1706.32
Астраханская область,2014,21.4,12.8,1009.2,245.63
Волгоградская область,2014,26.5,13.6,2572.9,1433.46
Ростовская область,2014,18.2,14.0,4255.7,3635.86
Республика Дагестан,2014,31.1,5.5,3004.9,17.55
Республика Ингушетия,2014,60.1,3.5,459.3,0.0
Кабардино-Балкарская Республика,2014,11.6,8.7,872.8,15.18
Карачаево-Черкесская Республика,2014,27.9,9.7,470.0,26.54
Республика Северная Осетия — Алания,2014,21.8,10.7,704.8,18.78
Чеченская Республика,2014,23.6,5.1,1370.5,0.0
Ставропольский край,2014,19.1,11.6,2843.4,777.45
Республика Башкортостан,2014,28.5,13.0,4105.8,4761.25
Республика Марий Эл,2014,35.6,13.6,689.2,200.01
Республика Мордовия,2014,26.5,14.3,812.7,224.1
Республика Татарстан (Татарстан),2014,30.9,12.1,3894.5,4635.05
Удмуртская Республика,2014,39.7,12.9,1504.4,341.05
Чувашская Республика — Чувашия,2014,35.7,13.4,1231.8,475.86
Пермский край,2014,38.5,14.0,2626.0,1685.81
Кировская область,2014,34.0,15.5,1271.0,1040.99
Нижегородская область,2014,29.1,15.9,3257.0,1586.8
Оренбургская область,2014,34.7,14.4,1973.9,1742.57
Пензенская область,2014,29.8,14.8,1350.8,71.18
Самарская область,2014,37.4,14.2,3224.5,3188.23
Саратовская область,2014,25.7,14.0,2517.9,7464.34
Ульяновская область,2014,38.0,14.6,1257.9,682.47
Курганская область,2014,55.5,16.1,857.7,303.69
Свердловская область,2014,33.0,14.0,4327.2,10831.01
Тюменская область,2014,35.5,8.3,3587.6,10033.97
Ханты-Мансийский автономный округ — Югра,2014,40.6,6.4,1616.2,8459.87
Ямало-Ненецкий автономный округ,2014,38.2,5.2,524.2,320.87
Челябинская область,2014,41.0,13.8,3498.2000000000003,8588.7
Республика Алтай,2014,39.4,11.3,209.7,5.75
Республика Тыва,2014,50.9,10.9,315.1,16.18
Республика Хакасия,2014,45.8,13.1,537.3,454.16
Алтайский край,2014,31.4,14.4,2343.4,827.47
Красноярский край,2014,34.8,12.7,2861.3,3098.53
Иркутская область,2014,43.8,13.7,2417.2,2533.32
Кемеровская область — Кузбасс,2014,34.2,14.6,2720.3,4765.56
Новосибирская область,2014,32.4,13.2,2753.0,903.58
Омская область,2014,42.9,13.3,1967.8,1294.13
Томская область,2014,31.3,11.8,1072.4,766.87
Республика Бурятия,2014,20.1,11.5,976.9,272.72
Республика Саха (Якутия),2014,32.5,8.6,959.0,1250.7
Забайкальский край,2014,31.1,12.6,1072.1,1059.18
Камчатский край,2014,42.6,11.8,309.8,9.5
Приморский край,2014,34.8,13.5,1925.0,2029.59
Хабаровский край,2014,36.1,13.4,1335.2,1380.46
Амурская область,2014,32.0,13.9,806.5,811.51
Магаданская область,2014,35.9,12.0,147.4,445.36
Сахалинская область,2014,45.3,13.2,480.6,220.34
Еврейская автономная область,2014,47.5,15.1,166.4,5.55
Чукотский автономный округ,2014,27.2,11.056,49.7,173.2
Белгородская область,2015,43.3,13.9,1552.4,1627.91
Брянская область,2015,26.0,15.9,1223.1,29.96
Владимирская область,2015,46.6,16.4,1405.5,258.46
Воронежская область,2015,16.8,15.3,2340.1,3259.38
Ивановская область,2015,21.2,16.4,1005.1999999999999,173.81
Калужская область,2015,22.7,14.7,1037.0,95.88
Костромская область,2015,27.5,16.5,631.8,404.38
Курская область,2015,23.9,16.3,1117.5,6130.63
Липецкая область,2015,25.8,15.2,1167.0,2215.56
Московская область,2015,23.1,12.2,7805.8,2966.8
Орловская область,2015,31.0,16.4,757.9,316.57
Рязанская область,2015,32.4,15.7,1136.1,1195.59
Смоленская область,2015,25.9,16.5,948.0,5372.13
Тамбовская область,2015,16.9,16.1,1049.8,223.44
Тверская область,2015,35.7,17.7,1302.8,6953.96
Тульская область,2015,24.9,16.8,1535.3,2377.79
Ярославская область,2015,28.6,15.7,1262.1,225.71
г. Москва,2015,19.6,9.9,12372.9,4232.63
Республика Карелия,2015,41.2,16.0,596.2,963.47
Республика Коми,2015,48.3,12.8,824.1,1468.19
Архангельская область,2015,39.1,14.0,1127.8,841.49
Ненецкий автономный округ,2015,57.4,9.5,42.5,13.89
Вологодская область,2015,35.5,14.8,1187.2,3838.84
Калининградская область,2015,28.3,13.2,977.8,444.07
Ленинградская область,2015,23.0,13.7,1821.4,1148.1
Мурманская область,2015,35.7,12.0,734.1,1017.09
Новгородская область,2015,25.9,17.5,613.6,643.68
Псковская область,2015,25.8,18.4,638.6,2.14
г. Санкт-Петербург,2015,38.5,11.7,5331.2,700.62
Республика Адыгея (Адыгея),2015,22.8,12.6,465.2,27.9
Республика Калмыкия,2015,40.8,9.9,277.8,0.09
Краснодарский край,2015,17.7,12.9,5579.7,1764.48
Астраханская область,2015,16.8,12.5,1003.9,512.78
Волгоградская область,2015,23.4,13.7,2565.4,1376.66
Ростовская область,2015,16.6,13.8,4253.7,4805.22
Республика Дагестан,2015,28.7,5.4,3032.5,17.83
Республика Ингушетия,2015,45.2,3.4,467.20000000000005,0.0
Кабардино-Балкарская Республика,2015,9.7,8.6,878.5,16.64
Карачаево-Черкесская Республика,2015,21.1,9.6,469.8,26.84
Республика Северная Осетия — Алания,2015,18.0,10.7,703.4,20.33
Чеченская Республика,2015,14.9,4.9,1394.7,2.83
Ставропольский край,2015,17.1,11.4,2857.7,881.52
Республика Башкортостан,2015,24.9,13.1,4114.0,4850.31
Республика Марий Эл,2015,30.3,13.7,688.1,195.21
Республика Мордовия,2015,22.3,14.0,812.4,228.91
Республика Татарстан (Татарстан),2015,26.7,11.9,3919.1,4794.36
Удмуртская Республика,2015,42.4,13.0,1500.8,351.71
Чувашская Республика — Чувашия,2015,34.3,13.2,1229.0,475.92
Пермский край,2015,35.5,14.2,2620.8,1640.99
Кировская область,2015,29.2,15.6,1257.0,997.76
Нижегородская область,2015,29.2,15.6,3244.1,1591.42
Оренбургская область,2015,33.4,14.3,1960.6,1672.01
Пензенская область,2015,26.2,14.9,1342.6,75.87
Самарская область,2015,38.6,14.2,3220.8,3026.74
Саратовская область,2015,23.1,14.0,2518.6,7281.39
Ульяновская область,2015,35.6,14.9,1251.9,676.21
Курганская область,2015,54.7,16.4,846.8,303.94
