,Регион,Год,Объем_сточных_вод_млн_м3,Инвестиции_в_ООС_тыс_руб,ВРП_млн_руб,ВРП_на_душу_руб,Индексы_производства_продукции_СХ_%,Доля_городского_населения_%,Использование_свеж_воды_млн_м3,Индекс_промыш_производства_%,Cluster
0,Алтайский край,2000,31.0,176660.0,46736.8,17660.5,122.0,52.8,569.0,109.2,1
1,Алтайский край,2001,34.0,111590.0,61854.4,23509.0,104.5,53.1,599.0,109.4,1
2,Алтайский край,2002,36.0,67466.0,73107.4,27991.2,103.1,53.2,563.0,100.1,1
3,Алтайский край,2003,36.0,50114.0,88733.3,34295.8,100.8,53.5,516.0,105.5,1
4,Алтайский край,2004,36.0,38270.0,114840.5,44934.9,99.5,53.7,488.0,102.6,1
5,Алтайский край,2005,34.0,154492.0,135686.4,53812.4,91.1,54.0,451.0,96.8,1
6,Алтайский край,2006,27.0,132720.0,173810.5,69852.0,109.4,54.2,455.0,110.3,1
7,Алтайский край,2007,26.0,233201.0,223563.4,90759.9,108.6,54.3,471.0,113.5,1
8,Алтайский край,2008,22.0,211412.0,259343.1,106019.5,93.2,54.5,481.0,103.3,1
9,Алтайский край,2009,17.0,307775.0,265613.3,109088.7,118.3,54.3,461.0,92.0,1
10,Алтайский край,2010,15.0,188042.0,302900.7,124955.8,93.5,54.8,340.0,122.0,1
11,Алтайский край,2011,12.0,125760.0,332117.8,137975.9,101.2,55.2,408.0,104.5,1
12,Алтайский край,2012,8.04,849701.0,368995.2,154560.6,86.4,55.6,406.93,104.4,1
13,Алтайский край,2013,8.07,1543854.0,416110.3,175666.0,121.9,55.9,404.84,101.3,1
14,Алтайский край,2014,10.73,586894.0,446023.8,189679.2,85.8,56.2,410.61,98.9,1
15,Алтайский край,2015,16.24,718792.0,487903.3,209023.2,106.5,56.5,386.73,100.1,1
16,Алтайский край,2016,18.05,1009642.0,532401.5,230047.1,112.0,56.7,376.43,102.5,1
17,Алтайский край,2017,17.34,177158.59999999998,545303.0,238056.6,101.8,56.9,364.05,103.7,1
18,Алтайский край,2018,17.33,1499996.0,579740.5,256081.7,103.3,57.2,349.42,100.8,1
19,Алтайский край,2019,32.27,737426.0,628146.1,280785.0,98.8,57.6,344.55,101.9,1
20,Алтайский край,2020,13.18,693377.0,664129.2,300706.5,96.7,57.9,353.27,101.1,1
21,Алтайский край,2021,13.51,520729.0,869672.1,400038.7,118.4,58.2,362.59,101.7,1
22,Алтайский край,2022,13.3,575528.0,944894.1,440933.3,104.1,58.3,374.84,103.2,1
23,Алтайский край,2023,13.0,2247651.0,1024355.4443,482474.4,93.1,58.5,425.0,107.1,1
24,Амурская область,2000,94.0,82424.0,26315.2,28317.2,106.2,66.6,115.0,105.4,1
25,Амурская область,2001,103.0,105250.0,39052.8,42578.3,106.7,65.9,116.0,92.2,1
26,Амурская область,2002,95.0,241408.0,45717.5,50449.6,109.9,65.9,114.0,105.3,1
27,Амурская область,2003,91.0,284708.0,53199.9,59480.3,70.4,66.2,109.0,105.8,1
28,Амурская область,2004,99.0,182344.0,64250.2,72937.0,112.7,66.5,107.0,100.2,1
29,Амурская область,2005,100.0,126708.0,76861.2,88597.1,93.1,66.4,104.0,95.7,1
30,Амурская область,2006,90.0,386298.0,95090.9,111116.2,113.0,66.6,100.0,104.7,1
31,Амурская область,2007,84.0,889804.0,111761.2,131887.8,117.8,66.6,98.0,102.6,1
32,Амурская область,2008,86.0,646375.0,131563.7,156329.6,104.9,66.6,93.0,111.4,1
33,Амурская область,2009,83.0,1269189.0,151118.6,180572.3,109.4,66.5,86.0,111.4,1
34,Амурская область,2010,82.0,258229.0,178689.6,214827.2,102.8,66.9,87.0,104.3,1
35,Амурская область,2011,79.0,1610459.0,225401.7,273332.2,121.0,67.0,83.0,120.0,1
36,Амурская область,2012,78.02,3924288.0,229407.1,280484.7,92.2,67.2,80.58,108.6,1
37,Амурская область,2013,76.97,2994667.0,210700.9,259501.7,70.9,67.3,79.17,106.9,1
38,Амурская область,2014,44.62,1359580.0,232053.0,287327.6,168.9,67.5,74.9,98.3,1
39,Амурская область,2015,72.77,1615146.0,277380.4,344986.8,101.0,67.5,73.77,92.5,1
40,Амурская область,2016,73.77,1698224.0,297531.0,372300.0,97.9,67.5,70.67,92.1,1
41,Амурская область,2017,67.38,3202654.0,299181.0,376452.8,114.9,67.5,72.06,105.3,1
42,Амурская область,2018,66.82,3662197.0,334164.4,423176.6,92.1,67.7,70.97,97.6,1
43,Амурская область,2019,65.05,2434168.0,395617.2,504185.5,87.9,67.9,71.87,109.9,1
44,Амурская область,2020,65.81,7291807.0,449317.5,577387.2,104.0,68.0,102.52,95.7,1
45,Амурская область,2021,66.51,7520455.0,548269.8,713306.9,111.2,68.2,107.45,108.9,1
46,Амурская область,2022,62.76,3508357.0,603837.3,794644.1,123.5,68.4,106.35,102.8,1
47,Амурская область,2023,60.0,2883951.0,793851.8831,1054056.2,94.2,68.5,115.0,97.2,1
48,Архангельская область,2000,540.0,1733357.7999999998,49882.9,,,75.3,832.0,,0
49,Архангельская область,2001,537.0,1874413.0,55391.2,,,75.6,828.0,,0
50,Архангельская область,2002,513.0,1626869.0,66678.0,,,75.3,755.0,,0
51,Архангельская область,2003,477.0,531838.0,78910.70000000001,,,75.0,713.0,,0
52,Архангельская область,2004,454.0,891153.0,102978.0,,,75.5,681.0,,0
53,Архангельская область,2005,464.0,3766789.9,121715.1,,,74.0,673.0,,0
54,Архангельская область,2006,464.0,9456773.0,148684.30000000002,,,74.4,670.0,,0
55,Архангельская область,2007,475.0,1890048.0,170833.8,,90.3,74.8,682.0,110.1,0
56,Архангельская область,2008,475.0,2801967.0,198279.50000000003,,94.2,75.1,654.0,102.2,0
57,Архангельская область,2009,413.0,1699949.2000000002,193429.1,,105.6,75.5,609.0,95.5,0
58,Архангельская область,2010,415.0,1227473.0,226876.5,,95.6,76.0,633.0,122.0,0
59,Архангельская область,2011,375.0,1823533.0,273685.5,233445.8,109.0,76.3,639.0,96.5,0
60,Архангельская область,2012,364.27,811074.0,315403.8,273874.6,100.3,76.4,622.0,103.7,0
61,Архангельская область,2013,341.03000000000003,3853785.0,326924.9,288957.6,90.8,76.6,600.75,110.0,0
62,Архангельская область,2014,335.86,2018957.0,355685.5,319673.0,101.4,76.8,597.62,73.1,0
63,Архангельская область,2015,329.79,2900104.4,400504.6,365908.3,83.8,77.1,569.68,101.9,0
64,Архангельская область,2016,328.66,3550139.7,451271.4,419090.3,99.2,77.2,562.25,100.6,0
65,Архангельская область,2017,325.0,9077923.0,493415.6,466062.8,83.9,77.2,556.84,116.3,0
66,Архангельская область,2018,322.78,2531498.0,545317.6,524584.0,109.3,77.4,551.61,100.9,0
67,Архангельская область,2019,322.87,2075759.0,558975.4,546989.7,96.3,77.4,536.2199999999999,102.1,0
68,Архангельская область,2020,320.63000000000005,13846375.0,551144.7,548518.4,101.9,77.5,542.9000000000001,99.1,0
69,Архангельская область,2021,292.68,18755549.0,671106.7,681214.5,97.9,77.6,531.9,100.9,0
70,Архангельская область,2022,277.51,2898495.0,700172.7,722234.1,98.9,77.8,494.98,95.5,0
71,Архангельская область,2023,247.0,2286387.0,761589.5558999999,793259.7,101.5,78.1,500.0,98.8,0
72,Астраханская область,2000,84.0,44651.00000000001,28115.7,27815.3,108.2,67.9,1322.0,90.2,2
73,Астраханская область,2001,83.0,793168.0,32274.3,32037.2,107.2,67.6,1252.0,117.4,2
74,Астраханская область,2002,78.0,162366.0,40994.9,40786.8,103.6,67.7,1111.0,100.6,2
75,Астраханская область,2003,71.0,313248.0,50659.8,50386.3,102.5,67.9,1190.0,103.5,2
76,Астраханская область,2004,71.0,286579.0,56710.9,56357.5,104.9,67.5,971.0,101.2,2
77,Астраханская область,2005,68.0,243264.0,70127.6,69814.0,109.1,67.7,937.0,100.8,2
78,Астраханская область,2006,73.0,579456.0,85112.1,84950.0,108.2,66.9,938.0,100.9,2
79,Астраханская область,2007,72.0,4889494.0,100359.2,99999.4,108.5,67.7,891.0,111.6,2
80,Астраханская область,2008,73.0,4530697.0,147549.1,146391.0,115.2,66.6,873.0,110.3,2
81,Астраханская область,2009,71.0,2117091.0,134418.2,133018.5,118.5,66.7,853.0,93.4,2
82,Астраханская область,2010,69.0,6506574.0,144888.8,143388.8,102.4,66.7,772.0,113.0,2
83,Астраханская область,2011,71.0,4505678.0,172616.6,170798.2,110.5,66.5,1085.0,107.5,2
84,Астраханская область,2012,55.67,23214194.0,209654.4,207683.9,106.1,66.3,849.63,118.7,2
85,Астраханская область,2013,52.4,12483621.8,273917.1,271899.3,100.7,66.2,799.55,115.5,2
86,Астраханская область,2014,50.15,1075159.78,296319.3,293883.9,100.3,65.8,756.6,102.9,2
87,Астраханская область,2015,40.74,1975977.4,322303.0,320199.0,102.3,65.6,730.88,109.6,2
88,Астраханская область,2016,51.16,858602.58,368485.4,367483.2,101.0,65.4,793.75,108.6,2
89,Астраханская область,2017,48.54,734865.4099999999,442608.8,442846.1,109.4,65.4,693.21,152.6,2
90,Астраханская область,2018,49.09,351388.0,579210.0,582565.6,108.7,65.3,695.94,116.3,2
91,Астраханская область,2019,36.39,2364872.0,601811.2,610661.5,101.8,65.1,646.04,103.7,2
92,Астраханская область,2020,30.26,728393.0,527290.2,541099.0,102.3,64.7,619.95,97.3,2
93,Астраханская область,2021,34.13,364423.0,663770.6,688988.3,101.7,64.3,576.13,93.9,2
94,Астраханская область,2022,35.11,806050.0,765239.3,801999.8,106.6,64.1,672.86,100.0,2
95,Астраханская область,2023,85.0,191976.0,777718.337,819951.6,103.0,63.9,561.0,100.6,2
96,Белгородская область,2000,45.0,116202.6,42074.5,27969.5,120.3,65.2,354.0,109.1,2
97,Белгородская область,2001,13.0,165112.4,49941.8,33126.7,107.7,65.2,346.0,110.1,2
98,Белгородская область,2002,6.0,125034.0,62404.4,41327.4,101.7,65.2,368.0,116.0,2
99,Белгородская область,2003,10.0,80802.0,76054.5,50271.4,100.1,65.4,394.0,106.2,2
100,Белгородская область,2004,11.0,174379.0,114409.3,75629.4,107.1,65.4,361.0,106.3,2
101,Белгородская область,2005,11.0,619089.0,144987.8,95911.2,114.8,65.6,314.0,112.9,2
102,Белгородская область,2006,11.0,775543.0,178846.1,118211.4,113.0,65.8,290.0,113.4,2
103,Белгородская область,2007,8.0,740206.0,237013.3,156225.1,122.4,66.0,257.0,111.3,2
104,Белгородская область,2008,11.0,1903196.0,317656.3,208548.1,127.5,65.8,253.0,112.7,2
105,Белгородская область,2009,49.0,880405.0,304345.3,199046.1,108.5,65.9,234.0,103.5,2
106,Белгородская область,2010,77.0,1488078.0,398361.4,260015.6,98.4,66.2,237.0,113.9,2
107,Белгородская область,2011,72.0,3335261.8,507839.8,330952.8,132.0,66.2,236.0,108.7,2
108,Белгородская область,2012,70.88,11797337.3,545517.2,354400.6,105.5,66.2,244.04,105.6,2
109,Белгородская область,2013,71.1,6062674.300000001,569006.4,368593.1,108.0,66.1,240.98,102.1,2
110,Белгородская область,2014,66.83,3454582.7,619677.7,400396.8,104.9,66.0,238.93,102.5,2
111,Белгородская область,2015,61.46,7141368.36,693379.4,447022.6,104.1,65.9,243.66,105.5,2
112,Белгородская область,2016,73.64,2425641.0,778027.8,500672.6,106.6,65.9,250.06,106.2,2
113,Белгородская область,2017,70.54,2800955.38,837306.8,538729.8,99.5,65.8,233.24,105.0,2
114,Белгородская область,2018,70.46,5058783.0,911597.9,587403.9,104.7,65.7,234.32,102.4,2
115,Белгородская область,2019,68.84,2375615.0,955329.2,615578.9,102.5,65.5,233.65,103.9,2
116,Белгородская область,2020,65.9,4660502.0,997330.9,643774.4,99.8,65.4,238.45,101.7,2
117,Белгородская область,2021,60.56,5754196.0,1359965.6,882551.8,97.3,65.3,229.03,104.4,2
118,Белгородская область,2022,58.6,8776026.0,1311232.6,859545.1,104.5,65.4,232.1,102.1,2
119,Белгородская область,2023,58.0,17411221.0,1341408.9401,889768.6,105.0,65.3,224.0,104.7,2
120,Брянская область,2000,100.0,54949.8,24650.5,17413.5,109.3,68.6,150.0,117.3,2
121,Брянская область,2001,99.0,47274.0,30110.3,21511.9,94.8,68.8,147.0,112.9,2
122,Брянская область,2002,96.0,8670.0,37374.1,27020.0,98.1,68.5,144.0,105.3,2
123,Брянская область,2003,94.0,36116.0,43700.3,31953.4,103.5,68.5,135.0,104.5,2
124,Брянская область,2004,92.0,22584.0,51003.4,37719.1,96.2,68.2,133.0,104.7,2
125,Брянская область,2005,89.0,9246.0,66692.3,49923.4,95.6,68.3,130.0,116.1,2
126,Брянская область,2006,96.0,4118.0,82100.4,62187.8,100.0,68.6,126.0,111.7,2
127,Брянская область,2007,94.0,0.0,102706.2,78518.8,106.0,68.8,123.0,121.8,2
128,Брянская область,2008,85.0,24075.0,125834.4,96885.4,107.9,68.9,115.0,103.2,2
129,Брянская область,2009,83.0,0.0,126477.4,98014.5,103.4,69.0,110.0,76.6,2
130,Брянская область,2010,78.0,0.0,147024.0,114777.6,94.2,69.1,117.0,122.9,2
131,Брянская область,2011,75.0,0.0,174211.8,137227.5,124.6,69.2,111.0,110.6,2
132,Брянская область,2012,70.83,77670.0,207397.5,164867.2,105.6,69.3,105.51,115.7,2
133,Брянская область,2013,67.78,282490.0,219502.8,176108.0,112.2,69.4,103.68,96.8,2
134,Брянская область,2014,61.56,7165.0,242722.4,196473.1,114.9,69.5,97.82,102.1,2
135,Брянская область,2015,57.6,0.0,271782.5,221557.6,113.1,69.5,96.29,113.5,2
136,Брянская область,2016,57.92,0.0,316489.4,259301.1,108.9,69.6,95.13,107.3,2
137,Брянская область,2017,55.12,0.0,341177.8,281250.4,106.0,69.7,93.95,104.1,2
138,Брянская область,2018,53.78,0.0,367157.1,305284.8,103.1,69.7,90.02,102.7,2
139,Брянская область,2019,50.75,0.0,399113.8,334495.9,100.4,69.6,89.58,117.0,2
140,Брянская область,2020,49.69,0.0,414179.4,349774.4,103.0,69.5,86.92,102.0,2
141,Брянская область,2021,51.4,0.0,482669.4,411888.4,100.9,69.5,88.41,112.2,2
142,Брянская область,2022,52.06,0.0,549347.1,474159.6,110.7,69.6,88.72,120.8,2
143,Брянская область,2023,53.0,57045.0,627017.7894,546442.6,115.9,69.7,93.0,115.8,2
144,Владимирская область,2000,182.0,24719.4,33017.7,21073.3,108.0,79.8,222.0,119.47,2
145,Владимирская область,2001,182.0,18750.8,42075.4,27170.0,87.4,79.7,211.0,114.7,2
146,Владимирская область,2002,185.0,42187.4,50359.9,32923.6,105.8,79.7,221.0,99.42,2
147,Владимирская область,2003,174.0,45455.4,61818.6,40809.4,98.7,79.4,205.0,106.15,2
148,Владимирская область,2004,169.0,28633.0,74207.0,49353.4,89.0,78.3,197.0,112.0,2
149,Владимирская область,2005,155.0,34421.2,86926.8,58261.0,108.8,77.2,189.0,101.4,2
150,Владимирская область,2006,147.0,19976.0,112841.7,76184.8,99.9,77.3,182.0,109.8,2
151,Владимирская область,2007,141.0,203508.0,146663.0,99682.5,101.7,77.4,180.0,122.6,2
152,Владимирская область,2008,140.0,59844.0,175395.7,119941.8,93.7,77.5,171.0,112.3,2
153,Владимирская область,2009,129.0,63777.0,185824.6,127815.1,106.9,77.5,165.0,84.4,2
154,Владимирская область,2010,129.0,120245.0,224759.2,155494.2,77.4,77.7,156.0,114.7,2
155,Владимирская область,2011,126.0,296674.0,261222.6,181742.0,123.6,77.6,161.0,107.4,2
156,Владимирская область,2012,123.74,595677.0,286018.6,200118.5,106.8,77.6,152.71,103.4,2
157,Владимирская область,2013,120.02,592373.0,306641.4,215705.7,92.0,77.5,145.46,108.0,2
158,Владимирская область,2014,110.49,540583.0,328064.2,231824.2,103.8,77.6,142.76,109.2,2
159,Владимирская область,2015,108.55,541132.2699999999,368489.2,261560.4,102.4,77.7,133.55,99.8,2
160,Владимирская область,2016,108.81,361733.33,431549.8,307666.2,97.3,77.8,129.89,104.6,2
161,Владимирская область,2017,104.52,458036.9,449849.2,322473.5,93.7,77.8,122.63,103.1,2
162,Владимирская область,2018,98.55,347368.0,480027.8,346635.8,101.1,77.9,122.29,104.6,2
163,Владимирская область,2019,94.42,1490744.0,535493.4,389002.2,102.6,77.8,117.48,113.0,2
164,Владимирская область,2020,95.02,342541.0,553092.4,404785.5,102.8,77.7,117.7,111.2,2
165,Владимирская область,2021,94.26,355852.0,730328.8,540728.4,97.0,77.6,119.58,108.6,2
166,Владимирская область,2022,91.32,144626.0,780490.4,585131.4,102.3,77.6,119.52,106.6,2
167,Владимирская область,2023,90.0,62028.0,893416.2539,677998.5,105.7,77.6,133.0,109.4,2
168,Волгоградская область,2000,217.0,4317259.0,63767.1,23340.8,109.5,74.9,1103.0,108.1,1
169,Волгоградская область,2001,212.0,2209997.0,82919.7,30513.2,117.9,75.1,990.0,102.0,1
170,Волгоградская область,2002,206.0,377392.0,104341.2,38617.7,101.6,75.2,960.0,101.2,1
171,Волгоградская область,2003,201.0,302695.0,128622.2,47934.1,100.4,75.2,886.0,101.3,1
172,Волгоградская область,2004,208.0,808199.0,154337.7,57928.0,112.9,75.3,887.0,106.0,1
173,Волгоградская область,2005,204.0,830110.0,203232.2,76740.6,100.3,75.4,833.0,104.1,1
174,Волгоградская область,2006,217.0,1845007.0,252142.7,95683.4,101.4,75.4,804.0,102.8,1
175,Волгоградская область,2007,203.0,1627967.0,331766.8,126313.1,97.7,75.7,827.0,102.4,1
176,Волгоградская область,2008,218.0,2239947.0,416678.5,159001.5,126.5,75.6,823.0,99.9,1
177,Волгоградская область,2009,200.0,784414.0,377514.3,144303.4,89.0,75.7,788.0,90.3,1
178,Волгоградская область,2010,186.0,1319640.0,433473.7,166028.8,84.9,76.0,731.0,106.1,1
179,Волгоградская область,2011,150.0,1767230.0,508433.3,195321.7,127.5,76.1,710.0,103.0,1
180,Волгоградская область,2012,144.43,1239703.0,571516.1,220267.5,88.8,76.2,608.93,104.8,1
181,Волгоградская область,2013,141.2,3263657.0,607472.2,234934.7,108.9,76.4,583.42,101.5,1
182,Волгоградская область,2014,122.62,17239560.0,715409.6,277632.9,107.1,76.5,582.57,102.4,1
183,Волгоградская область,2015,104.21,19815471.0,740458.0,288213.6,94.5,76.6,593.77,101.1,1
184,Волгоградская область,2016,104.7,12007132.2,825586.5,322250.5,114.5,76.7,520.41,103.2,1
185,Волгоградская область,2017,89.2,3914853.2,850263.7,332977.4,102.4,76.9,525.9,104.3,1
186,Волгоградская область,2018,84.29,5890381.0,927811.7,364763.9,96.3,77.0,552.23,100.9,1
187,Волгоградская область,2019,85.25,8825949.0,963214.4,380349.9,108.0,77.2,530.43,100.0,1
188,Волгоградская область,2020,91.69,11310177.0,977707.7,387991.0,101.3,77.3,566.76,99.3,1
189,Волгоградская область,2021,89.21,2905258.0,1067376.2,426400.1,97.5,77.5,564.37,98.4,1
190,Волгоградская область,2022,85.92,4034147.0,1218846.2,491186.6,116.9,77.6,578.17,102.8,1
191,Волгоградская область,2023,203.0,4817229.0,1384980.9482,562548.1,100.1,77.7,2395.0,102.5,1
192,Вологодская область,2000,241.0,327700.4,69195.5,53432.8,101.6,68.8,711.0,107.71,0
193,Вологодская область,2001,240.0,229477.0,65425.3,50934.4,102.3,68.9,642.0,96.88,0
194,Вологодская область,2002,231.0,764392.5,80731.9,63433.6,95.3,69.1,655.0,105.64,0
195,Вологодская область,2003,205.0,2670047.23,107544.6,85259.1,95.5,69.3,579.0,103.81,0
196,Вологодская область,2004,195.0,4144316.0,161378.6,129015.6,90.5,68.3,636.0,106.5,0
197,Вологодская область,2005,172.0,7651512.0,193966.1,156379.7,100.3,68.6,630.0,106.5,0
198,Вологодская область,2006,167.0,2398459.7,201939.2,164130.2,95.1,69.0,710.0,107.1,0
199,Вологодская область,2007,156.0,2750264.2,243336.3,199003.0,99.0,69.4,728.0,104.9,0
200,Вологодская область,2008,146.0,3162085.4,294926.2,242347.7,98.5,69.7,712.0,95.3,0
201,Вологодская область,2009,132.0,2835586.04,213396.9,176179.2,97.2,70.0,583.0,90.5,0
202,Вологодская область,2010,152.0,913777.2,262432.7,217826.8,89.6,70.8,602.0,111.8,0
203,Вологодская область,2011,157.0,4547444.08,323067.9,269271.0,110.7,71.1,537.0,105.6,0
204,Вологодская область,2012,154.42,5260851.2,355291.3,296779.7,94.5,71.3,467.32,101.3,0
205,Вологодская область,2013,147.9,12799362.659999998,346227.6,289860.7,93.3,71.5,481.46,102.5,0
206,Вологодская область,2014,137.38,12648844.89,387211.7,324906.9,97.9,71.8,481.47,103.7,0
207,Вологодская область,2015,145.08,4901474.8,478893.0,402818.7,103.7,72.0,392.67,102.6,0
208,Вологодская область,2016,147.1,5814611.57,509931.7,430233.8,106.2,72.1,354.86,99.8,0
209,Вологодская область,2017,157.41,7380560.930000001,542663.4,460014.4,88.9,72.2,226.55,102.4,0
210,Вологодская область,2018,128.84,2867325.0,615647.7,525527.1,104.5,72.4,251.84,104.6,0
211,Вологодская область,2019,78.45,4875530.0,632759.5,543954.1,109.4,72.4,247.76,103.9,0
212,Вологодская область,2020,67.44,11633355.0,624437.1,540722.5,100.1,72.4,217.64,102.3,0
213,Вологодская область,2021,67.31,11660388.0,1026496.5,897094.3,100.1,72.5,212.52,101.0,0
214,Вологодская область,2022,64.71,8397440.0,1024197.0,903488.3,104.4,72.5,213.59,96.6,0
215,Вологодская область,2023,60.0,10955581.0,1081822.8893,961567.4,101.7,72.7,219.0,106.2,0
216,Воронежская область,2000,190.0,127056.8,49523.9,20365.1,129.0,61.6,695.0,105.4,2
217,Воронежская область,2001,174.0,36789.0,60014.6,24905.4,102.0,61.8,686.0,101.1,2
218,Воронежская область,2002,174.0,27224.4,83001.1,34789.6,101.3,62.0,651.0,98.7,2
219,Воронежская область,2003,173.0,90184.2,100143.3,42237.5,117.5,62.0,617.0,106.3,2
220,Воронежская область,2004,168.0,80233.0,117197.6,49530.0,94.0,62.0,582.0,106.9,2
221,Воронежская область,2005,169.0,214410.6,133586.6,56534.5,100.7,61.8,556.0,111.0,2
222,Воронежская область,2006,159.0,430142.4,166176.5,70492.7,103.1,61.7,535.0,109.0,2
223,Воронежская область,2007,152.0,353258.4,222811.9,94849.5,107.0,61.7,519.0,104.9,2
224,Воронежская область,2008,144.0,1604813.6,287072.1,122591.1,125.9,62.0,498.0,103.6,2
225,Воронежская область,2009,134.0,1364551.6,301729.1,129112.5,99.5,62.1,457.0,99.4,2
226,Воронежская область,2010,134.0,393762.6,346568.2,148432.6,72.7,65.5,460.0,106.6,2
227,Воронежская область,2011,135.0,533174.8,474973.9,203523.7,163.7,66.0,451.0,110.1,2
228,Воронежская область,2012,131.08,493479.0,563965.4,241754.0,104.2,66.4,442.21,129.7,2
229,Воронежская область,2013,128.63,1512233.0,611720.4,262215.8,109.9,66.8,378.49,106.1,2
230,Воронежская область,2014,121.91,3937024.6400000006,717667.2,307400.6,101.9,67.1,390.26,108.0,2
231,Воронежская область,2015,117.13,3593616.8,805969.6,344688.2,99.3,67.3,393.22,103.7,2
232,Воронежская область,2016,121.62,2370531.0,827928.6,353549.7,104.6,67.5,398.01,104.4,2
233,Воронежская область,2017,119.2,3977809.2,873429.4,372738.0,102.8,67.8,378.78,106.0,2
234,Воронежская область,2018,118.82,6695649.0,951292.3,406385.7,101.8,68.1,372.14,103.2,2
235,Воронежская область,2019,119.24,1095666.0,1001790.3,428581.3,107.1,68.3,404.6,111.3,2
236,Воронежская область,2020,118.23,1071988.0,1062765.4,456565.5,99.0,68.3,399.65,109.5,2
237,Воронежская область,2021,117.21,276456.0,1273851.9,551241.7,97.3,68.5,386.5,105.5,2
238,Воронежская область,2022,121.46,979953.0,1377736.5,600596.0,112.8,68.5,399.08,98.0,2
239,Воронежская область,2023,131.0,56096.0,1494401.8905,655626.6,103.3,68.5,414.0,109.9,2
240,Еврейская автономная область,2000,11.0,6678.0,3784.0,19484.8,107.0,67.0,20.0,114.18,2
241,Еврейская автономная область,2001,12.0,51380.6,4788.9,24877.5,108.6,67.2,21.0,117.5,2
242,Еврейская автономная область,2002,12.0,80144.0,6838.5,35766.0,100.6,67.2,21.0,109.7,2
243,Еврейская автономная область,2003,12.0,55096.0,8564.6,45196.1,105.4,67.6,20.0,108.6,2
244,Еврейская автономная область,2004,14.0,46520.0,11230.9,60029.9,107.6,67.2,20.0,101.0,2
245,Еврейская автономная область,2005,14.0,75008.0,14204.2,77319.2,106.3,67.2,21.0,103.0,2
246,Еврейская автономная область,2006,14.0,162002.0,17976.8,99578.4,101.8,67.2,20.0,104.2,2
247,Еврейская автономная область,2007,14.0,673259.6,23726.1,132505.0,102.3,67.3,20.0,122.7,2
248,Еврейская автономная область,2008,13.0,524398.0,23977.0,134377.5,101.8,67.4,24.0,118.6,2
249,Еврейская автономная область,2009,14.0,218020.1,25320.0,142388.0,90.2,67.3,25.0,81.2,2
250,Еврейская автономная область,2010,15.0,295833.0,31555.9,178380.6,107.4,67.8,25.0,102.5,2
251,Еврейская автономная область,2011,16.0,39171.0,39467.0,225382.9,101.3,68.4,26.0,100.1,2
252,Еврейская автономная область,2012,14.65,471384.62,42743.6,247338.9,88.2,68.4,23.21,104.1,2
253,Еврейская автономная область,2013,14.0,130813.7,38428.7,225611.9,64.6,68.7,21.36,102.6,2
254,Еврейская автономная область,2014,12.89,15240.36,41948.1,250145.1,129.5,69.3,21.79,113.3,2
255,Еврейская автономная область,2015,13.58,19199.32,44554.8,269785.3,100.2,69.8,18.36,91.3,2
256,Еврейская автономная область,2016,13.53,289034.55,48563.2,298404.2,78.1,70.1,18.78,90.2,2
257,Еврейская автономная область,2017,13.54,1148806.0,55268.0,344645.5,116.1,70.5,14.77,160.4,2
258,Еврейская автономная область,2018,10.72,221790.0,54577.8,345698.0,105.0,70.8,14.54,114.9,2
259,Еврейская автономная область,2019,12.57,0.0,56847.6,365145.1,54.6,70.8,13.46,102.6,2
260,Еврейская автономная область,2020,11.74,0.0,63177.1,411199.2,119.2,70.7,13.35,102.4,2
261,Еврейская автономная область,2021,12.4,244748.0,79156.9,523964.8,101.2,70.8,14.68,96.9,2
262,Еврейская автономная область,2022,11.94,287078.0,80676.2,543204.8,117.4,70.8,16.13,107.0,2
263,Еврейская автономная область,2023,12.0,191307.0,102215.2622,697096.5,114.1,70.8,19.0,94.3,2
264,Забайкальский край,2000,80.0,54242.6,30024.6,25320.1,89.2,63.6,570.0,101.5,1
265,Забайкальский край,2001,94.0,192308.0,35139.2,29979.7,90.3,63.8,519.0,107.3,1
266,Забайкальский край,2002,77.0,225621.16,44555.8,38443.3,108.8,63.9,471.0,102.1,1
267,Забайкальский край,2003,75.0,230283.36,53145.5,46308.5,94.9,64.0,479.0,109.4,1
268,Забайкальский край,2004,84.0,198488.0,61261.8,53845.5,95.4,64.0,379.0,92.7,1
269,Забайкальский край,2005,83.0,320383.26,69647.1,61741.0,107.3,64.2,406.0,104.0,1
270,Забайкальский край,2006,79.0,499377.0,90732.1,81066.2,101.2,64.6,358.0,102.5,1
271,Забайкальский край,2007,85.0,548247.8,110822.4,99544.9,101.8,64.9,282.0,103.7,1
272,Забайкальский край,2008,97.0,1105444.1,140302.0,126362.1,105.3,65.1,263.0,100.4,1
273,Забайкальский край,2009,98.0,730648.2,148587.9,133973.5,105.1,65.5,264.0,97.0,1
274,Забайкальский край,2010,78.0,127824.1,166742.5,150548.9,101.5,66.0,234.0,114.9,1
275,Забайкальский край,2011,95.0,439763.06,203869.0,185196.6,104.2,66.4,252.0,111.4,1
276,Забайкальский край,2012,85.63,1487842.0,223968.8,205203.2,105.2,66.8,214.06,106.6,1
277,Забайкальский край,2013,35.49,2844391.0,229239.4,211655.3,99.3,67.2,235.77,107.5,1
278,Забайкальский край,2014,30.76,1245670.6,234840.8,218366.2,102.8,67.5,236.04,104.6,1
