,Регион,Год,Объем_сточных_вод_млн_м3,Инвестиции_в_ООС,ВРП
952,Пермский край,2016,357.78,9698540.599999998,1147634.0
953,Пермский край,2017,317.13,7280486.4,1245826.9
954,Пермский край,2018,211.96,12553576.0,1422704.6
955,Пермский край,2019,209.51,11233509.0,1496401.4
956,Пермский край,2020,194.19,9399653.0,1385352.5
957,Пермский край,2021,156.92,19135151.0,1765366.6
958,Пермский край,2022,134.62,26753339.0,2002818.8
959,Пермский край,2023,124.0,40452255.0,2197280124.0
960,Приморский край,2000,459.0,96196.9,62088.5
961,Приморский край,2001,436.0,182287.6,72826.1
962,Приморский край,2002,418.0,151441.0,96832.3
963,Приморский край,2003,389.0,354072.6,119333.7
964,Приморский край,2004,346.0,538042.0,152301.1
965,Приморский край,2005,348.0,391490.8,186623.3
966,Приморский край,2006,337.0,1744916.8,215934.4
967,Приморский край,2007,339.0,1113373.0,259041.4
968,Приморский край,2008,340.0,802117.0,316581.9
969,Приморский край,2009,337.0,2268115.0,368996.7
970,Приморский край,2010,371.0,9902868.0,470679.2
971,Приморский край,2011,336.0,16074828.0,549722.8
972,Приморский край,2012,317.95,40793050.0,557489.3
973,Приморский край,2013,284.84,2595486.0,577473.9
974,Приморский край,2014,290.4,4293790.0,642423.0
975,Приморский край,2015,290.92,6736541.0,717609.9
976,Приморский край,2016,275.68,2705843.0,860803.6
977,Приморский край,2017,268.25,4280680.0,906265.0
978,Приморский край,2018,265.95,4185702.0,965485.2
979,Приморский край,2019,258.9,9315960.0,1069330.7
980,Приморский край,2020,260.96,13423536.0,1105672.6
981,Приморский край,2021,250.66,11546877.0,1354099.5
982,Приморский край,2022,243.51,15170819.0,1539350.3
983,Приморский край,2023,238.0,9544926.0,1862934299.3
984,Псковская область,2000,73.0,79851.2,16178.9
985,Псковская область,2001,73.0,23358.0,19416.9
986,Псковская область,2002,74.0,27677.0,24098.9
987,Псковская область,2003,73.0,43958.2,29488.4
988,Псковская область,2004,69.0,14932.0,35816.0
989,Псковская область,2005,61.0,20466.0,40582.9
990,Псковская область,2006,60.0,46848.0,51464.9
991,Псковская область,2007,57.0,193580.0,61561.9
992,Псковская область,2008,57.0,430528.0,73283.2
993,Псковская область,2009,54.0,98676.0,74647.8
994,Псковская область,2010,52.0,78140.0,87066.0
995,Псковская область,2011,45.0,38233.0,100498.5
996,Псковская область,2012,39.79,11655.0,107547.5
997,Псковская область,2013,38.84,296020.0,114676.2
998,Псковская область,2014,36.96,101951.4,123825.6
999,Псковская область,2015,35.39,80886.0,135239.5
1000,Псковская область,2016,37.18,75252.0,159206.1
1001,Псковская область,2017,37.06,5251.0,165858.1
1002,Псковская область,2018,33.6,1184.0,180730.3
1003,Псковская область,2019,35.09,38974.0,196625.3
1004,Псковская область,2020,33.9,335508.0,201756.7
1005,Псковская область,2021,32.54,183449.0,227739.7
1006,Псковская область,2022,31.59,214895.0,257770.8
1007,Псковская область,2023,34.0,40306.0,288750003.6
1008,Республика Адыгея (Адыгея),2000,50.0,2400.4,5519.6
1009,Республика Адыгея (Адыгея),2001,35.0,1120.0,6641.8
1010,Республика Адыгея (Адыгея),2002,35.0,5096.0,7909.9
1011,Республика Адыгея (Адыгея),2003,24.0,138486.0,9849.3
1012,Республика Адыгея (Адыгея),2004,24.0,16290.0,12493.2
1013,Республика Адыгея (Адыгея),2005,24.0,142774.0,17029.1
1014,Республика Адыгея (Адыгея),2006,23.0,92135.20000000001,21132.4
1015,Республика Адыгея (Адыгея),2007,21.0,662922.2,29085.1
1016,Республика Адыгея (Адыгея),2008,21.0,1370538.0,36134.4
1017,Республика Адыгея (Адыгея),2009,29.0,844502.0,41511.5
1018,Республика Адыгея (Адыгея),2010,29.0,208142.0,47194.5
1019,Республика Адыгея (Адыгея),2011,28.0,280030.0,56803.3
1020,Республика Адыгея (Адыгея),2012,28.39,668115.85,65300.4
1021,Республика Адыгея (Адыгея),2013,25.78,495441.0,70862.3
1022,Республика Адыгея (Адыгея),2014,24.42,1037910.0,75622.5
1023,Республика Адыгея (Адыгея),2015,25.78,558549.0,84306.0
1024,Республика Адыгея (Адыгея),2016,25.51,399550.5,101102.7
1025,Республика Адыгея (Адыгея),2017,23.15,821118.0,109714.5
1026,Республика Адыгея (Адыгея),2018,24.66,146337.0,119961.8
1027,Республика Адыгея (Адыгея),2019,23.46,0.0,131125.8
1028,Республика Адыгея (Адыгея),2020,23.53,0.0,142913.5
1029,Республика Адыгея (Адыгея),2021,23.63,0.0,171386.1
1030,Республика Адыгея (Адыгея),2022,24.09,0.0,197082.0
1031,Республика Адыгея (Адыгея),2023,23.0,0.0,223012969.5
1032,Республика Алтай,2000,0.55,16.6,2737.5
1033,Республика Алтай,2001,0.55,0.0,4499.4
1034,Республика Алтай,2002,0.42,0.0,5310.6
1035,Республика Алтай,2003,0.67,0.0,6903.9
1036,Республика Алтай,2004,0.36,0.0,8516.7
1037,Республика Алтай,2005,0.5,0.0,8805.8
1038,Республика Алтай,2006,0.37,0.0,11609.4
1039,Республика Алтай,2007,0.42,0.0,15108.5
1040,Республика Алтай,2008,0.46,0.0,18701.0
1041,Республика Алтай,2009,0.26,0.0,19911.6
1042,Республика Алтай,2010,0.3,4734.32,22393.7
1043,Республика Алтай,2011,0.3,297540.0,26380.8
1044,Республика Алтай,2012,0.31,243191.7,30444.6
1045,Республика Алтай,2013,0.24,246150.08000000002,33313.5
1046,Республика Алтай,2014,0.35,328874.98,39191.9
1047,Республика Алтай,2015,0.39,217665.86000000002,42165.7
1048,Республика Алтай,2016,0.38,653538.0,47434.9
1049,Республика Алтай,2017,0.32,847814.0,48415.2
1050,Республика Алтай,2018,0.31,376546.0,54069.4
1051,Республика Алтай,2019,0.33,265133.0,57064.0
1052,Республика Алтай,2020,0.38,226638.0,62850.8
1053,Республика Алтай,2021,0.31,226694.0,74513.4
1054,Республика Алтай,2022,0.29,368555.0,91614.7
1055,Республика Алтай,2023,0.3,1095838.0,108336517.4
1056,Республика Башкортостан,2000,457.0,2007086.4,145125.0
1057,Республика Башкортостан,2001,447.0,3686735.5999999996,166974.8
1058,Республика Башкортостан,2002,426.0,3674822.1,187842.2
1059,Республика Башкортостан,2003,408.0,3238644.3999999994,242920.5
1060,Республика Башкортостан,2004,392.0,4759211.0,310845.1
1061,Республика Башкортостан,2005,388.0,5980977.399999999,381646.5
1062,Республика Башкортостан,2006,383.0,8862116.1,505205.8
1063,Республика Башкортостан,2007,383.0,10007539.8,590054.1
1064,Республика Башкортостан,2008,381.0,9487296.5,743133.4
1065,Республика Башкортостан,2009,359.0,5328387.18,647911.7
1066,Республика Башкортостан,2010,341.0,8804046.5,759203.3
1067,Республика Башкортостан,2011,321.0,6943523.340000001,941023.6
1068,Республика Башкортостан,2012,311.23,7425146.99,1149384.6
1069,Республика Башкортостан,2013,305.1,17756662.290000003,1163219.0
1070,Республика Башкортостан,2014,297.86,22224236.81,1260010.4
1071,Республика Башкортостан,2015,277.11,26807308.919999998,1316598.3
1072,Республика Башкортостан,2016,283.24,41201491.32000001,1421517.6
1073,Республика Башкортостан,2017,259.98,25085742.689999998,1487892.2
1074,Республика Башкортостан,2018,243.33,20278741.0,1739362.9
1075,Республика Башкортостан,2019,236.02,14346571.0,1803321.7
1076,Республика Башкортостан,2020,175.52,36460300.0,1694189.7
1077,Республика Башкортостан,2021,174.48,19510561.0,2016023.7
1078,Республика Башкортостан,2022,166.78,27881793.0,2242646.9
1079,Республика Башкортостан,2023,170.0,22879800.0,2460269384.6
1080,Республика Бурятия,2000,120.0,128455.9,21574.5
1081,Республика Бурятия,2001,121.0,118918.0,30075.1
1082,Республика Бурятия,2002,70.0,176827.1,37884.5
1083,Республика Бурятия,2003,67.0,147885.8,52253.7
1084,Республика Бурятия,2004,66.0,112887.0,63918.5
1085,Республика Бурятия,2005,61.0,230965.40000000002,74912.9
1086,Республика Бурятия,2006,52.0,567380.0,91712.4
1087,Республика Бурятия,2007,50.0,226933.0,107442.0
1088,Республика Бурятия,2008,46.0,539909.0,124738.5
1089,Республика Бурятия,2009,45.0,668357.0,121187.7
1090,Республика Бурятия,2010,41.0,1915282.0,133525.6
1091,Республика Бурятия,2011,8.0,905520.9,153624.1
1092,Республика Бурятия,2012,34.56,317124.48,164737.8
1093,Республика Бурятия,2013,32.47,527117.7,176888.9
1094,Республика Бурятия,2014,37.89,1752556.37,186492.9
1095,Республика Бурятия,2015,39.23,846556.3999999999,202823.4
1096,Республика Бурятия,2016,38.06,1645575.0,220764.6
1097,Республика Бурятия,2017,34.53,721618.8,224594.1
1098,Республика Бурятия,2018,34.64,1347824.0,258578.6
1099,Республика Бурятия,2019,30.52,610121.0,285490.6
1100,Республика Бурятия,2020,28.6,1441588.0,302800.4
1101,Республика Бурятия,2021,29.72,1895980.0,356150.2
1102,Республика Бурятия,2022,26.28,1860495.0,447008.5
1103,Республика Бурятия,2023,26.0,27187069.0,503918816.0
1104,Республика Дагестан,2000,280.0,2793.4,20921.1
1105,Республика Дагестан,2001,220.0,78107.8,31544.0
1106,Республика Дагестан,2002,77.0,113990.20000000001,41441.0
1107,Республика Дагестан,2003,80.0,26732.0,57626.7
1108,Республика Дагестан,2004,79.0,134824.0,80712.4
1109,Республика Дагестан,2005,78.0,132876.56,90442.6
1110,Республика Дагестан,2006,75.0,568437.2,124153.5
1111,Республика Дагестан,2007,75.0,103684.42,156928.8
1112,Республика Дагестан,2008,75.0,151633.32,216277.2
1113,Республика Дагестан,2009,76.0,549879.5,257832.7
1114,Республика Дагестан,2010,77.0,1097750.0,274354.2
1115,Республика Дагестан,2011,78.0,982391.02,330322.8
1116,Республика Дагестан,2012,79.38,1691799.8,374710.3
1117,Республика Дагестан,2013,77.33,225798.0,452882.2
1118,Республика Дагестан,2014,77.74,41407.49999999999,528131.3
1119,Республика Дагестан,2015,79.28,211632.2,569297.3
1120,Республика Дагестан,2016,76.92,62525.4,617587.6
1121,Республика Дагестан,2017,71.91,73289.0,639513.2999999999
1122,Республика Дагестан,2018,71.48,8925.0,676060.8
1123,Республика Дагестан,2019,73.25,0.0,713723.6
1124,Республика Дагестан,2020,74.77,71310.0,740798.8
1125,Республика Дагестан,2021,74.9,0.0,802523.3
1126,Республика Дагестан,2022,70.99,0.0,913292.1
1127,Республика Дагестан,2023,74.0,0.0,1034705378.2
1128,Республика Ингушетия,2000,1.42,0.0,2618.5
1129,Республика Ингушетия,2001,0.94,0.0,3604.3
1130,Республика Ингушетия,2002,1.13,0.0,3582.1
1131,Республика Ингушетия,2003,1.44,0.0,4756.6
1132,Республика Ингушетия,2004,1.37,0.0,6210.4
1133,Республика Ингушетия,2005,1.6,0.0,7419.3
1134,Республика Ингушетия,2006,1.86,0.0,9033.5
1135,Республика Ингушетия,2007,1.89,0.0,16812.4
1136,Республика Ингушетия,2008,1.26,0.0,19172.9
1137,Республика Ингушетия,2009,3.14,0.0,18953.3
1138,Республика Ингушетия,2010,2.7,0.0,19929.1
1139,Республика Ингушетия,2011,4.3,0.0,26858.9
1140,Республика Ингушетия,2012,4.15,0.0,37413.9
1141,Республика Ингушетия,2013,4.06,0.0,45766.7
1142,Республика Ингушетия,2014,3.83,776088.0,51908.2
1143,Республика Ингушетия,2015,2.19,0.0,50091.0
1144,Республика Ингушетия,2016,2.57,41538.0,58141.5
1145,Республика Ингушетия,2017,2.72,252000.0,60855.8
1146,Республика Ингушетия,2018,2.84,69900.0,67468.2
1147,Республика Ингушетия,2019,2.73,751900.0,73791.6
1148,Республика Ингушетия,2020,0.92,7363100.0,70857.40000000001
1149,Республика Ингушетия,2021,0.87,210200.0,71831.70000000001
1150,Республика Ингушетия,2022,0.83,113700.0,82227.3
1151,Республика Ингушетия,2023,0.6,1219900.0,95319660.4
1152,Республика Калмыкия,2000,28.0,51089.8,6212.6
1153,Республика Калмыкия,2001,35.0,69246.0,6732.0
1154,Республика Калмыкия,2002,37.0,96153.2,7272.3
1155,Республика Калмыкия,2003,43.0,32977.4,6539.5
1156,Республика Калмыкия,2004,37.0,63408.0,8518.5
1157,Республика Калмыкия,2005,36.0,138124.0,9685.7
1158,Республика Калмыкия,2006,41.0,116188.0,12844.1
1159,Республика Калмыкия,2007,38.0,126456.0,17225.8
1160,Республика Калмыкия,2008,39.0,249902.0,20789.7
1161,Республика Калмыкия,2009,35.0,108672.0,23948.1
1162,Республика Калмыкия,2010,29.0,10934.0,24404.1
1163,Республика Калмыкия,2011,33.0,11660.0,29318.7
1164,Республика Калмыкия,2012,20.45,828316.0,35897.8
1165,Республика Калмыкия,2013,26.25,305048.0,41165.9
1166,Республика Калмыкия,2014,14.25,458800.0,46680.6
1167,Республика Калмыкия,2015,12.1,31367.6,51958.5
1168,Республика Калмыкия,2016,14.91,149306.19999999998,69564.2
1169,Республика Калмыкия,2017,14.9,13146.35,80126.9
1170,Республика Калмыкия,2018,13.87,18808.0,86107.1
1171,Республика Калмыкия,2019,18.24,49530.0,88986.9
1172,Республика Калмыкия,2020,14.73,29670.0,94025.9
1173,Республика Калмыкия,2021,6.29,70730.0,102377.2
1174,Республика Калмыкия,2022,11.69,103615.0,118961.6
1175,Республика Калмыкия,2023,11.0,0.0,166710215.5
1176,Республика Карелия,2000,205.0,370468.4,28214.6
1177,Республика Карелия,2001,201.0,207686.6,33721.2
1178,Республика Карелия,2002,198.0,203730.4,41362.4
1179,Республика Карелия,2003,194.0,463180.0,46588.9
1180,Республика Карелия,2004,209.0,422086.0,53964.1
1181,Республика Карелия,2005,205.0,392230.0,77124.8
1182,Республика Карелия,2006,207.0,614292.0,84228.3
1183,Республика Карелия,2007,204.0,820954.0,104603.3
1184,Республика Карелия,2008,197.0,1990206.0,115208.2
1185,Республика Карелия,2009,190.0,1297788.0,105924.1
1186,Республика Карелия,2010,190.0,3294327.0,120511.3
1187,Республика Карелия,2011,175.0,2563980.0,154953.7
1188,Республика Карелия,2012,177.6,333953.0,160841.5
1189,Республика Карелия,2013,216.74,246130.0,178636.2
1190,Республика Карелия,2014,219.73,825975.6,191192.1
1191,Республика Карелия,2015,205.65,428642.80000000005,212049.5
1192,Республика Карелия,2016,221.23,624804.44,248140.4
1193,Республика Карелия,2017,220.83,431382.2200000001,270802.5
1194,Республика Карелия,2018,180.2,146492.0,300977.1
1195,Республика Карелия,2019,222.1,97971.0,319050.0
1196,Республика Карелия,2020,170.9,181714.0,322803.6
1197,Республика Карелия,2021,120.61,288100.0,447564.1
1198,Республика Карелия,2022,112.18,312690.0,391410.5
1199,Республика Карелия,2023,137.0,1237461.0,434291088.5
1200,Республика Коми,2000,146.0,2069114.0,59473.1
1201,Республика Коми,2001,146.0,1262641.0,78276.5
1202,Республика Коми,2002,145.0,410099.0,86019.4
1203,Республика Коми,2003,141.0,517844.0,107149.0
1204,Республика Коми,2004,136.0,856491.0,131588.0
1205,Республика Коми,2005,133.0,1858180.0,171307.2
1206,Республика Коми,2006,126.0,2139255.0,218490.7
1207,Республика Коми,2007,121.0,596137.0,241150.5
1208,Республика Коми,2008,116.0,1426890.0,291812.1
1209,Республика Коми,2009,107.0,12101837.0,302629.2
1210,Республика Коми,2010,117.0,4206808.0,353853.0
1211,Республика Коми,2011,129.0,1030906.0,435959.3
1212,Республика Коми,2012,119.58,5990182.0,479051.3
1213,Республика Коми,2013,109.47,20692596.0,482329.9
1214,Республика Коми,2014,110.64,26269696.0,484166.5
1215,Республика Коми,2015,117.26,35775324.0,528403.4
1216,Республика Коми,2016,110.11,26704787.299999997,578649.1
1217,Республика Коми,2017,262.24,19298151.18,608574.5
1218,Республика Коми,2018,266.85,31109899.0,696242.2
1219,Республика Коми,2019,268.62,16926605.0,718138.7
1220,Республика Коми,2020,171.09,16229629.0,613266.9
1221,Республика Коми,2021,175.99,6967105.0,869995.8
1222,Республика Коми,2022,168.12,3531371.0,975700.7
1223,Республика Коми,2023,177.0,5959059.0,1049365480.1
1224,Республика Марий Эл,2000,70.0,24243.2,11207.6
1225,Республика Марий Эл,2001,60.0,22076.4,15087.8
1226,Республика Марий Эл,2002,64.0,52536.6,17815.3
1227,Республика Марий Эл,2003,66.0,81907.0,22987.3
1228,Республика Марий Эл,2004,66.0,64933.0,30085.6
1229,Республика Марий Эл,2005,64.0,53545.8,33350.7
1230,Республика Марий Эл,2006,60.0,24344.659999999996,43663.7
1231,Республика Марий Эл,2007,60.0,9922.26,55069.2
1232,Республика Марий Эл,2008,59.0,52746.0,65765.3
1233,Республика Марий Эл,2009,62.0,88597.16,69271.5
1234,Республика Марий Эл,2010,60.0,28688.16,82374.4
1235,Республика Марий Эл,2011,57.0,7740.0,97323.3
1236,Республика Марий Эл,2012,51.1,18618.0,117201.1
1237,Республика Марий Эл,2013,55.43,1865.94,125950.2
1238,Республика Марий Эл,2014,49.75,7800.0,143396.1
1239,Республика Марий Эл,2015,49.07,738.4,171689.5
1240,Республика Марий Эл,2016,48.15,35783.399999999994,170890.5
1241,Республика Марий Эл,2017,45.07,89679.4,178193.2
1242,Республика Марий Эл,2018,48.08,2111659.0,192690.3
1243,Республика Марий Эл,2019,49.59,1024183.0,203282.1
1244,Республика Марий Эл,2020,51.36,2096192.0,197948.7
1245,Республика Марий Эл,2021,29.35,55646.0,226451.5
1246,Республика Марий Эл,2022,30.75,167072.0,261992.8
1247,Республика Марий Эл,2023,30.0,649166.0,304473131.0
1248,Республика Мордовия,2000,60.0,59034.0,17553.4
1249,Республика Мордовия,2001,58.0,142908.0,22089.5
1250,Республика Мордовия,2002,56.0,113938.0,27508.0
1251,Республика Мордовия,2003,56.0,170084.0,33244.0
1252,Республика Мордовия,2004,54.0,163393.0,38334.9
1253,Республика Мордовия,2005,53.0,570580.0,44267.0
1254,Республика Мордовия,2006,51.0,487286.0,57974.2
1255,Республика Мордовия,2007,50.0,466734.80000000005,77048.8
1256,Республика Мордовия,2008,49.0,472964.0,94058.3
1257,Республика Мордовия,2009,47.0,573622.0,90862.4
1258,Республика Мордовия,2010,46.0,427896.0,105343.8
1259,Республика Мордовия,2011,42.0,879473.0,119955.2
1260,Республика Мордовия,2012,38.69,559125.0,134315.6
1261,Республика Мордовия,2013,35.15,105926.0,148705.7
1262,Республика Мордовия,2014,33.78,640641.0,173872.7
1263,Республика Мордовия,2015,29.6,1797759.0,180352.3
1264,Республика Мордовия,2016,29.92,1209540.6,223297.80000000002
1265,Республика Мордовия,2017,26.45,2726703.0,236090.8
1266,Республика Мордовия,2018,27.05,1110593.0,245675.6
1267,Республика Мордовия,2019,5.5,2140287.0,262760.6
1268,Республика Мордовия,2020,5.21,4160049.0,266387.0
1269,Республика Мордовия,2021,5.0,556059.0,304167.2
1270,Республика Мордовия,2022,4.95,1746269.0,342626.3
1271,Республика Мордовия,2023,5.0,1107427.0,396832991.5
1272,Республика Саха (Якутия),2000,85.0,460543.8,81960.4
1273,Республика Саха (Якутия),2001,87.0,289853.8,100922.4
1274,Республика Саха (Якутия),2002,83.0,731485.2,115117.1
1275,Республика Саха (Якутия),2003,87.0,3370527.6,132964.1
1276,Республика Саха (Якутия),2004,79.0,1282498.0,153496.7
1277,Республика Саха (Якутия),2005,79.0,2593335.1,183027.0
1278,Республика Саха (Якутия),2006,79.0,2624036.3999999994,206845.0
1279,Республика Саха (Якутия),2007,97.0,8047336.6,242656.5
1280,Республика Саха (Якутия),2008,93.0,9486622.400000002,309518.3
1281,Республика Саха (Якутия),2009,91.0,15727014.599999998,328201.7
1282,Республика Саха (Якутия),2010,86.0,5640642.679999999,386825.1
1283,Республика Саха (Якутия),2011,87.0,4021328.8,486830.9
1284,Республика Саха (Якутия),2012,81.33,5928762.59,541306.8
1285,Республика Саха (Якутия),2013,75.63,15394451.980000004,570284.7
1286,Республика Саха (Якутия),2014,78.95,15299240.290000003,658140.4
1287,Республика Саха (Якутия),2015,85.43,13600314.65,747601.7
1288,Республика Саха (Якутия),2016,49.73,12699488.1,889449.3
1289,Республика Саха (Якутия),2017,48.18,25027561.69,942029.6
1290,Республика Саха (Якутия),2018,56.8,38796333.0,1126774.7
1291,Республика Саха (Якутия),2019,83.3,16076182.0,1227680.3
1292,Республика Саха (Якутия),2020,74.28,13246354.0,1133688.2
1293,Республика Саха (Якутия),2021,75.44,14331622.0,1672273.8
1294,Республика Саха (Якутия),2022,81.41,26297148.0,2025049.4
1295,Республика Саха (Якутия),2023,84.0,42857130.0,2229816564.7
1296,Республика Северная Осетия — Алания,2000,24.0,41645.4,8363.2
1297,Республика Северная Осетия — Алания,2001,18.0,34581.0,12665.3
1298,Республика Северная Осетия — Алания,2002,98.0,123515.2,15997.5
1299,Республика Северная Осетия — Алания,2003,97.0,109958.0,18925.2
1300,Республика Северная Осетия — Алания,2004,93.0,138259.0,24268.0
1301,Республика Северная Осетия — Алания,2005,96.0,584389.4,31182.2
1302,Республика Северная Осетия — Алания,2006,90.0,314918.4,43341.2
1303,Республика Северная Осетия — Алания,2007,88.0,670563.2,52804.8
1304,Республика Северная Осетия — Алания,2008,87.0,656329.0,57707.4
1305,Республика Северная Осетия — Алания,2009,88.0,1228180.6,64081.4
1306,Республика Северная Осетия — Алания,2010,82.0,1404997.8,75327.4
1307,Республика Северная Осетия — Алания,2011,97.0,400209.0,85876.7
1308,Республика Северная Осетия — Алания,2012,106.5,703298.0,97448.8
1309,Республика Северная Осетия — Алания,2013,86.92,904201.2,118637.5
1310,Республика Северная Осетия — Алания,2014,83.62,528354.0,125960.5
1311,Республика Северная Осетия — Алания,2015,87.65,372996.9,126051.2
1312,Республика Северная Осетия — Алания,2016,87.74,443680.5,148810.1
1313,Республика Северная Осетия — Алания,2017,86.39,886624.0,152526.4
1314,Республика Северная Осетия — Алания,2018,92.17,988250.0,161092.7
1315,Республика Северная Осетия — Алания,2019,89.78,0.0,173459.4
1316,Республика Северная Осетия — Алания,2020,91.25,0.0,179159.0
1317,Республика Северная Осетия — Алания,2021,90.15,0.0,197993.1
1318,Республика Северная Осетия — Алания,2022,88.55,0.0,215976.6
1319,Республика Северная Осетия — Алания,2023,90.0,0.0,266555759.3
1320,Республика Татарстан (Татарстан),2000,572.0,633815.2,186154.4
1321,Республика Татарстан (Татарстан),2001,547.0,943255.7999999999,213740.0
1322,Республика Татарстан (Татарстан),2002,534.0,1047238.2999999999,250596.0
1323,Республика Татарстан (Татарстан),2003,534.0,997916.2000000001,305086.1
1324,Республика Татарстан (Татарстан),2004,543.0,998521.0,391116.0
1325,Республика Татарстан (Татарстан),2005,529.0,1158070.2,482759.2
1326,Республика Татарстан (Татарстан),2006,512.0,1543123.6,605911.5
1327,Республика Татарстан (Татарстан),2007,493.0,2296532.8,757401.4
1328,Республика Татарстан (Татарстан),2008,477.0,5638986.3,926056.7
1329,Республика Татарстан (Татарстан),2009,439.0,11039986.620000001,885064.0
1330,Республика Татарстан (Татарстан),2010,490.0,10724536.1,1001622.8
1331,Республика Татарстан (Татарстан),2011,498.0,8339828.2,1305947.0
1332,Республика Татарстан (Татарстан),2012,480.0,26748864.8,1437001.0
1333,Республика Татарстан (Татарстан),2013,466.64,33755583.599999994,1551472.1
1334,Республика Татарстан (Татарстан),2014,439.42,16197738.099999998,1661413.8
1335,Республика Татарстан (Татарстан),2015,382.48,32698477.799999997,1867258.7
1336,Республика Татарстан (Татарстан),2016,325.21,19073694.0,2058139.9
1337,Республика Татарстан (Татарстан),2017,319.71,20199947.0,2264655.8
1338,Республика Татарстан (Татарстан),2018,296.19,24161549.0,2622773.9
1339,Республика Татарстан (Татарстан),2019,286.14,28779024.0,2808753.3
1340,Республика Татарстан (Татарстан),2020,276.47,45371292.0,2631286.8
1341,Республика Татарстан (Татарстан),2021,262.52,32577852.0,3533272.5
1342,Республика Татарстан (Татарстан),2022,243.28,33024343.0,4179258.6
1343,Республика Татарстан (Татарстан),2023,199.0,61565637.0,4583352287.6
1344,Республика Тыва,2000,13.0,4200.0,3594.1
1345,Республика Тыва,2001,9.0,28800.0,5197.2
1346,Республика Тыва,2002,9.0,54087.4,6847.4
1347,Республика Тыва,2003,9.0,9600.0,8121.2
1348,Республика Тыва,2004,9.0,3060.0,9838.5
1349,Республика Тыва,2005,8.0,46160.0,11662.5
1350,Республика Тыва,2006,8.0,154898.0,15146.8
1351,Республика Тыва,2007,8.0,255046.0,19384.2
1352,Республика Тыва,2008,8.0,228944.5,23870.5
1353,Республика Тыва,2009,10.0,316947.0,26921.9
1354,Республика Тыва,2010,9.0,754533.09,30772.8
1355,Республика Тыва,2011,9.0,214231.0,33398.9
1356,Республика Тыва,2012,8.14,131052.0,37369.1
1357,Республика Тыва,2013,7.47,1286.0,41298.7
1358,Республика Тыва,2014,7.4,570.0,45947.9
1359,Республика Тыва,2015,9.04,0.0,47289.6
1360,Республика Тыва,2016,12.35,0.0,58001.1
1361,Республика Тыва,2017,5.62,9350.0,65038.9
1362,Республика Тыва,2018,6.67,18632.0,73681.6
1363,Республика Тыва,2019,8.17,20381.0,79321.3
1364,Республика Тыва,2020,8.14,34877.0,82230.8
1365,Республика Тыва,2021,6.2,189095.0,91529.3
1366,Республика Тыва,2022,5.61,170230.0,107783.5
1367,Республика Тыва,2023,5.0,0.0,122532484.8
1368,Республика Хакасия,2000,56.0,83557.8,17418.1
1369,Республика Хакасия,2001,55.0,80156.0,20041.0
1370,Республика Хакасия,2002,54.0,55882.0,25423.3
1371,Республика Хакасия,2003,57.0,56227.0,28969.2
1372,Республика Хакасия,2004,50.0,56444.0,33102.9
1373,Республика Хакасия,2005,50.0,96170.0,41727.5
1374,Республика Хакасия,2006,44.0,1061105.98,53689.3
1375,Республика Хакасия,2007,45.0,1663614.0,63722.0
1376,Республика Хакасия,2008,44.0,57094.0,72308.8
1377,Республика Хакасия,2009,40.0,228273.3,81019.9
1378,Республика Хакасия,2010,38.0,774079.0,96039.8
1379,Республика Хакасия,2011,36.0,706204.0,113088.1
1380,Республика Хакасия,2012,33.94,748974.0,130638.5
1381,Республика Хакасия,2013,30.41,405349.5,141850.5
1382,Республика Хакасия,2014,30.16,519203.0,158372.8
1383,Республика Хакасия,2015,28.93,338087.1,170413.1
1384,Республика Хакасия,2016,24.05,1114144.0,207742.6
1385,Республика Хакасия,2017,24.19,943099.0299999998,218148.4
1386,Республика Хакасия,2018,32.65,473175.0,242341.1
1387,Республика Хакасия,2019,28.31,520043.0,256322.3
1388,Республика Хакасия,2020,26.35,2877238.0,266213.2
1389,Республика Хакасия,2021,29.27,1236863.0,315304.4
1390,Республика Хакасия,2022,30.69,278226.0,349156.3
1391,Республика Хакасия,2023,33.0,327289.0,378551545.3
1392,Ростовская область,2000,298.0,1065576.4,88955.0
1393,Ростовская область,2001,287.0,835347.0,118762.5
1394,Ростовская область,2002,418.0,821528.0,140773.3
1395,Ростовская область,2003,337.0,1114020.0,171849.0
1396,Ростовская область,2004,318.0,1594833.0,221167.4
1397,Ростовская область,2005,282.0,596359.0,263051.5
1398,Ростовская область,2006,271.0,991704.0,340012.5
1399,Ростовская область,2007,300.0,650909.0,450434.7
1400,Ростовская область,2008,265.0,2242587.6,576125.7
1401,Ростовская область,2009,255.0,1271217.2000000002,555917.1
1402,Ростовская область,2010,270.0,294945.4,659667.4
1403,Ростовская область,2011,235.0,437445.4,765967.2
1404,Ростовская область,2012,253.05,564997.2,843560.3
1405,Ростовская область,2013,236.4,11225927.0,917689.1
1406,Ростовская область,2014,262.16,14889581.960000003,1007758.8
1407,Ростовская область,2015,238.38,9161777.649999999,1189144.0
1408,Ростовская область,2016,252.66,1842788.2600000002,1375107.4
1409,Ростовская область,2017,217.88,3905094.4,1441723.3
1410,Ростовская область,2018,199.43,3066697.0,1548222.9
1411,Ростовская область,2019,203.24,1328393.0,1636017.5
1412,Ростовская область,2020,189.6,2048723.0,1714576.7
1413,Ростовская область,2021,199.79,1075325.0,2042953.9
1414,Ростовская область,2022,205.52,1796002.0,2325839.3
