,Регион,Год,Объем_сточных_вод_млн_м3,Инвестиции_в_ООС_тыс_руб,ВРП_млн_руб
115,Астраханская область,2001,83.0,793168.0,32274.3
116,Волгоградская область,2001,212.0,2209997.0,82919.7
117,Ростовская область,2001,287.0,835347.0,118762.5
118,Республика Дагестан,2001,220.0,78107.8,31544.0
119,Республика Ингушетия,2001,0.94,0.0,3604.3
120,Кабардино-Балкарская Республика,2001,50.0,147196.0,19443.3
121,Карачаево-Черкесская Республика,2001,62.0,2096.2,7324.8
122,Республика Северная Осетия — Алания,2001,18.0,34581.0,12665.3
124,Ставропольский край,2001,228.0,156002.0,67860.4
125,Республика Башкортостан,2001,447.0,3686735.5999999996,166974.8
126,Республика Марий Эл,2001,60.0,22076.4,15087.8
127,Республика Мордовия,2001,58.0,142908.0,22089.5
128,Республика Татарстан (Татарстан),2001,547.0,943255.7999999999,213740.0
129,Удмуртская Республика,2001,27.0,292412.6,65551.4
130,Чувашская Республика — Чувашия,2001,130.0,153887.8,30778.5
131,Пермский край,2001,390.0,1887422.0,166803.4
132,Кировская область,2001,176.0,82401.9,41699.0
133,Нижегородская область,2001,545.0,447721.7,149322.6
134,Оренбургская область,2001,154.0,491633.0,85168.3
135,Пензенская область,2001,149.0,34532.2,33262.6
136,Самарская область,2001,536.0,588954.0,180049.3
137,Саратовская область,2001,294.0,238662.0,83665.7
138,Ульяновская область,2001,130.0,129516.0,38563.6
139,Курганская область,2001,18.0,66593.6,25379.6
140,Свердловская область,2001,818.0,1726847.7999999998,199859.1
141,Ханты-Мансийский автономный округ — Югра,2001,33.0,8213822.0,497981.4
142,Ямало-Ненецкий автономный округ,2001,33.0,967014.0,184315.9
143,Тюменская область,2001,79.0,9511073.0,70821.89999999994
144,Челябинская область,2001,774.0,1675354.0,142461.9
145,Республика Алтай,2001,0.55,0.0,4499.4
146,Республика Тыва,2001,9.0,28800.0,5197.2
147,Республика Хакасия,2001,55.0,80156.0,20041.0
148,Алтайский край,2001,34.0,111590.0,61854.4
149,Красноярский край,2001,620.0,2341158.0,239420.0
150,Иркутская область,2001,890.0,867844.0,120240.0
151,Кемеровская область — Кузбасс,2001,778.0,645651.0,113800.2
152,Новосибирская область,2001,74.0,154435.2,95298.9
153,Омская область,2001,229.0,1604440.7,61535.7
154,Томская область,2001,19.0,1055113.4000000001,57041.1
155,Республика Бурятия,2001,121.0,118918.0,30075.1
156,Республика Саха (Якутия),2001,87.0,289853.8,100922.4
157,Забайкальский край,2001,94.0,192308.0,35139.2
158,Камчатский край,2001,36.0,64354.0,23031.7
159,Приморский край,2001,436.0,182287.6,72826.1
160,Хабаровский край,2001,236.0,531800.0,79891.5
161,Амурская область,2001,103.0,105250.0,39052.8
162,Магаданская область,2001,49.0,10618.0,17151.6
163,Сахалинская область,2001,57.0,147101.0,47140.1
164,Еврейская автономная область,2001,12.0,51380.6,4788.9
165,Чукотский автономный округ,2001,5.0,0.0,6944.6
166,Белгородская область,2002,6.0,125034.0,62404.4
167,Брянская область,2002,96.0,8670.0,37374.1
168,Владимирская область,2002,185.0,42187.4,50359.9
169,Воронежская область,2002,174.0,27224.4,83001.1
170,Ивановская область,2002,160.0,25881.8,26981.3
171,Калужская область,2002,112.0,70539.0,37283.1
172,Костромская область,2002,57.0,118512.0,25952.9
173,Курская область,2002,38.0,70795.4,45309.4
174,Липецкая область,2002,137.0,604955.0,70590.5
175,Московская область,2002,630.0,1056491.4,312950.0
176,Орловская область,2002,80.0,23373.4,35657.4
177,Рязанская область,2002,19.0,92793.0,45797.5
178,Смоленская область,2002,93.0,56808.0,42166.1
179,Тамбовская область,2002,59.0,126824.0,38897.8
180,Тверская область,2002,88.0,338302.0,55732.6
181,Тульская область,2002,263.0,67348.2,65416.3
182,Ярославская область,2002,316.0,582445.0,75313.4
183,г. Москва,2002,2661.0,5864306.0,1767476.7
184,Республика Карелия,2002,198.0,203730.4,41362.4
185,Республика Коми,2002,145.0,410099.0,86019.4
186,Ненецкий автономный округ,2002,1.11,305787.0,16480.8
187,Архангельская область,2002,513.0,1626869.0,66678.0
188,Вологодская область,2002,231.0,764392.5,80731.9
189,Калининградская область,2002,151.0,210502.0,40120.3
190,Ленинградская область,2002,398.0,1387768.8,94747.0
191,Мурманская область,2002,366.0,906183.0,68445.4
192,Новгородская область,2002,93.0,38793.0,31466.8
193,Псковская область,2002,74.0,27677.0,24098.9
194,г. Санкт-Петербург,2002,1183.0,1525012.7999999998,336692.3
195,Республика Адыгея (Адыгея),2002,35.0,5096.0,7909.9
196,Республика Калмыкия,2002,37.0,96153.2,7272.3
197,Краснодарский край,2002,986.0,2810870.6,217727.6
198,Астраханская область,2002,78.0,162366.0,40994.9
199,Волгоградская область,2002,206.0,377392.0,104341.2
200,Ростовская область,2002,418.0,821528.0,140773.3
201,Республика Дагестан,2002,77.0,113990.20000000001,41441.0
202,Республика Ингушетия,2002,1.13,0.0,3582.1
203,Кабардино-Балкарская Республика,2002,54.0,177512.0,22774.5
204,Карачаево-Черкесская Республика,2002,55.0,51538.600000000006,10234.5
205,Республика Северная Осетия — Алания,2002,98.0,123515.2,15997.5
207,Ставропольский край,2002,223.0,296295.0,80534.5
208,Республика Башкортостан,2002,426.0,3674822.1,187842.2
209,Республика Марий Эл,2002,64.0,52536.6,17815.3
