,Регион,Год,Объем_сточных_вод_млн_м3,Инвестиции_в_ООС_тыс_руб,ВРП_млн_руб
496,Еврейская автономная область,2005,14.0,75008.0,14204.2
497,Чукотский автономный округ,2005,4.3,0.0,12355.4
498,Белгородская область,2006,11.0,775543.0,178846.1
499,Брянская область,2006,96.0,4118.0,82100.4
500,Владимирская область,2006,147.0,19976.0,112841.7
501,Воронежская область,2006,159.0,430142.4,166176.5
502,Ивановская область,2006,140.0,313976.0,55090.0
503,Калужская область,2006,99.0,298190.2,86150.5
504,Костромская область,2006,66.0,146309.0,54351.1
505,Курская область,2006,33.0,86096.0,104035.7
506,Липецкая область,2006,124.0,3852349.0,179057.3
507,Московская область,2006,617.0,1545774.8599999999,934328.9
508,Орловская область,2006,70.0,45276.2,64801.6
509,Рязанская область,2006,15.0,110202.0,105491.9
510,Смоленская область,2006,90.0,93752.4,79043.4
511,Тамбовская область,2006,53.0,324669.0,79766.2
512,Тверская область,2006,91.0,34488.0,127363.8
513,Тульская область,2006,236.0,343984.0,142240.1
514,Ярославская область,2006,284.0,423730.0,153251.5
515,г. Москва,2006,1857.0,11282742.0,5260232.8
516,Республика Карелия,2006,207.0,614292.0,84228.3
517,Республика Коми,2006,126.0,2139255.0,218490.7
518,Ненецкий автономный округ,2006,1.35,6912716.0,67248.4
519,Архангельская область,2006,464.0,9456773.0,148684.30000000002
520,Вологодская область,2006,167.0,2398459.7,201939.2
521,Калининградская область,2006,131.0,2250358.0,103138.7
522,Ленинградская область,2006,355.0,5510181.7,265260.4
523,Мурманская область,2006,329.0,677491.0,158127.0
524,Новгородская область,2006,78.0,265270.0,74923.8
525,Псковская область,2006,60.0,46848.0,51464.9
526,г. Санкт-Петербург,2006,1174.0,9882963.4,825102.3
527,Республика Адыгея (Адыгея),2006,23.0,92135.20000000001,21132.4
528,Республика Калмыкия,2006,41.0,116188.0,12844.1
529,Краснодарский край,2006,907.0,1084194.0,483950.7
530,Астраханская область,2006,73.0,579456.0,85112.1
531,Волгоградская область,2006,217.0,1845007.0,252142.7
532,Ростовская область,2006,271.0,991704.0,340012.5
533,Республика Дагестан,2006,75.0,568437.2,124153.5
534,Республика Ингушетия,2006,1.86,0.0,9033.5
535,Кабардино-Балкарская Республика,2006,42.0,424546.0,43309.7
536,Карачаево-Черкесская Республика,2006,55.0,216482.0,23260.1
537,Республика Северная Осетия — Алания,2006,90.0,314918.4,43341.2
539,Ставропольский край,2006,211.0,1145897.0,181675.1
540,Республика Башкортостан,2006,383.0,8862116.1,505205.8
541,Республика Марий Эл,2006,60.0,24344.659999999996,43663.7
542,Республика Мордовия,2006,51.0,487286.0,57974.2
543,Республика Татарстан (Татарстан),2006,512.0,1543123.6,605911.5
544,Удмуртская Республика,2006,30.0,544956.6,164848.5
545,Чувашская Республика — Чувашия,2006,121.0,264148.0,93172.0
546,Пермский край,2006,302.0,3863405.0,383770.1
547,Кировская область,2006,159.0,177232.0,97047.1
548,Нижегородская область,2006,420.0,1094366.5,376180.3
549,Оренбургская область,2006,144.0,2394358.8,302808.4
550,Пензенская область,2006,137.0,22516.0,88805.0
551,Самарская область,2006,465.0,1943153.3,487713.5
552,Саратовская область,2006,242.0,437140.0,204291.2
553,Ульяновская область,2006,115.0,654224.6000000001,101950.3
554,Курганская область,2006,57.0,267915.8,68434.5
555,Свердловская область,2006,821.0,4225123.4,653908.3
556,Ханты-Мансийский автономный округ — Югра,2006,33.0,9520527.0,1594097.1
557,Ямало-Ненецкий автономный округ,2006,59.0,2153211.0,546365.8
558,Тюменская область,2006,100.0,12132136.0,410892.49999999977
559,Челябинская область,2006,655.0,4225204.6,446918.0
560,Республика Алтай,2006,0.37,0.0,11609.4
561,Республика Тыва,2006,8.0,154898.0,15146.8
562,Республика Хакасия,2006,44.0,1061105.98,53689.3
563,Алтайский край,2006,27.0,132720.0,173810.5
564,Красноярский край,2006,462.0,5070038.199999999,585881.9
565,Иркутская область,2006,807.0,1184630.0,330834.3
566,Кемеровская область — Кузбасс,2006,733.0,1715371.0,342210.6
567,Новосибирская область,2006,73.0,589532.6,296064.5
568,Омская область,2006,203.0,986347.7,262506.7
569,Томская область,2006,9.0,705421.0,188800.7
570,Республика Бурятия,2006,52.0,567380.0,91712.4
571,Республика Саха (Якутия),2006,79.0,2624036.3999999994,206845.0
572,Забайкальский край,2006,79.0,499377.0,90732.1
573,Камчатский край,2006,32.0,33716.0,56119.8
574,Приморский край,2006,337.0,1744916.8,215934.4
575,Хабаровский край,2006,209.0,1838180.0,194259.6
576,Амурская область,2006,90.0,386298.0,95090.9
577,Магаданская область,2006,28.0,198698.1,31203.2
578,Сахалинская область,2006,48.0,9736778.6,166105.4
579,Еврейская автономная область,2006,14.0,162002.0,17976.8
580,Чукотский автономный округ,2006,4.61,0.0,15538.0
581,Белгородская область,2007,8.0,740206.0,237013.3
582,Брянская область,2007,94.0,0.0,102706.2
583,Владимирская область,2007,141.0,203508.0,146663.0
584,Воронежская область,2007,152.0,353258.4,222811.9
585,Ивановская область,2007,136.0,278366.0,74752.0
586,Калужская область,2007,98.0,426725.0,111869.0
587,Костромская область,2007,64.0,93266.0,65700.4
588,Курская область,2007,34.0,73994.0,128799.0
589,Липецкая область,2007,114.0,1715673.0,209821.5
590,Московская область,2007,597.0,693951.2,1295649.9
591,Орловская область,2007,63.0,18341.0,77101.2
592,Рязанская область,2007,14.0,149918.0,121305.2
593,Смоленская область,2007,85.0,240835.40000000002,95703.4
594,Тамбовская область,2007,19.0,515178.0,106039.6
595,Тверская область,2007,101.0,123954.0,156034.6
596,Тульская область,2007,216.0,143908.0,174110.9
597,Ярославская область,2007,208.0,1085910.0,186577.5
598,г. Москва,2007,1726.0,13036075.0,6696259.1
599,Республика Карелия,2007,204.0,820954.0,104603.3
600,Республика Коми,2007,121.0,596137.0,241150.5
601,Ненецкий автономный округ,2007,1.57,496431.0,97838.3
602,Архангельская область,2007,475.0,1890048.0,170833.8
603,Вологодская область,2007,156.0,2750264.2,243336.3
604,Калининградская область,2007,116.0,2228275.0,143927.7
605,Ленинградская область,2007,324.0,4323053.9,309028.6
606,Мурманская область,2007,383.0,354648.0,191584.6
607,Новгородская область,2007,75.0,174400.0,86664.9
608,Псковская область,2007,57.0,193580.0,61561.9
609,г. Санкт-Петербург,2007,1187.0,8205394.6,1119660.3
610,Республика Адыгея (Адыгея),2007,21.0,662922.2,29085.1
611,Республика Калмыкия,2007,38.0,126456.0,17225.8
612,Краснодарский край,2007,887.0,916713.0,648211.3
613,Астраханская область,2007,72.0,4889494.0,100359.2
614,Волгоградская область,2007,203.0,1627967.0,331766.8
615,Ростовская область,2007,300.0,650909.0,450434.7
616,Республика Дагестан,2007,75.0,103684.42,156928.8
617,Республика Ингушетия,2007,1.89,0.0,16812.4
618,Кабардино-Балкарская Республика,2007,39.0,591368.0,48908.7
619,Карачаево-Черкесская Республика,2007,53.0,372486.8,27469.7
620,Республика Северная Осетия — Алания,2007,88.0,670563.2,52804.8
622,Ставропольский край,2007,203.0,2438415.0,222239.6
623,Республика Башкортостан,2007,383.0,10007539.8,590054.1
624,Республика Марий Эл,2007,60.0,9922.26,55069.2
625,Республика Мордовия,2007,50.0,466734.80000000005,77048.8
626,Республика Татарстан (Татарстан),2007,493.0,2296532.8,757401.4
627,Удмуртская Республика,2007,27.0,561854.0,205647.4
628,Чувашская Республика — Чувашия,2007,118.0,351113.0,123453.3
629,Пермский край,2007,279.0,8198240.0,477794.2
630,Кировская область,2007,147.0,219077.0,118154.9
631,Нижегородская область,2007,410.0,1525075.8,473307.4
632,Оренбургская область,2007,142.0,4116193.6,370880.9
633,Пензенская область,2007,128.0,1047010.0,119104.0
634,Самарская область,2007,454.0,2836902.4,584968.6
635,Саратовская область,2007,251.0,422411.0,252867.2
636,Ульяновская область,2007,118.0,1327024.6,124676.2
637,Курганская область,2007,56.0,342580.0,81076.0
638,Свердловская область,2007,868.0,5836452.399999999,820792.5
639,Ханты-Мансийский автономный округ — Югра,2007,38.0,7583561.4,1728340.2
640,Ямало-Ненецкий автономный округ,2007,49.0,2344152.7,594678.6
641,Тюменская область,2007,100.0,10583343.5,435794.30000000016
642,Челябинская область,2007,657.0,4739653.0,575643.7
643,Республика Алтай,2007,0.42,0.0,15108.5
644,Республика Тыва,2007,8.0,255046.0,19384.2
645,Республика Хакасия,2007,45.0,1663614.0,63722.0
646,Алтайский край,2007,26.0,233201.0,223563.4
647,Красноярский край,2007,449.0,5309869.5,734154.8
648,Иркутская область,2007,789.0,2086587.0,402654.7
649,Кемеровская область — Кузбасс,2007,767.0,2731732.0,437790.2
650,Новосибирская область,2007,101.0,891014.2999999999,365531.2
651,Омская область,2007,207.0,824286.4,296004.7
652,Томская область,2007,9.0,1369830.9,214487.0
653,Республика Бурятия,2007,50.0,226933.0,107442.0
654,Республика Саха (Якутия),2007,97.0,8047336.6,242656.5
655,Забайкальский край,2007,85.0,548247.8,110822.4
656,Камчатский край,2007,41.0,74912.0,66076.8
657,Приморский край,2007,339.0,1113373.0,259041.4
658,Хабаровский край,2007,203.0,3428604.0,231293.2
659,Амурская область,2007,84.0,889804.0,111761.2
660,Магаданская область,2007,29.0,373724.4,35314.4
661,Сахалинская область,2007,45.0,9254228.600000001,286273.0
662,Еврейская автономная область,2007,14.0,673259.6,23726.1
663,Чукотский автономный округ,2007,4.6,0.0,20984.1
664,Белгородская область,2008,11.0,1903196.0,317656.3
665,Брянская область,2008,85.0,24075.0,125834.4
666,Владимирская область,2008,140.0,59844.0,175395.7
667,Воронежская область,2008,144.0,1604813.6,287072.1
668,Ивановская область,2008,127.0,217780.0,86980.3
669,Калужская область,2008,96.0,484216.4,150394.4
670,Костромская область,2008,65.0,76370.0,81040.7
671,Курская область,2008,35.0,102885.6,167865.8
672,Липецкая область,2008,140.0,3714541.0,259532.2
673,Московская область,2008,588.0,1320771.92,1645753.0
674,Орловская область,2008,61.0,10380.0,96669.9
675,Рязанская область,2008,18.0,341862.0,150151.2
676,Смоленская область,2008,82.0,228335.0,121601.3
677,Тамбовская область,2008,17.0,338643.0,120836.0
678,Тверская область,2008,99.0,2541182.0,192283.0
679,Тульская область,2008,201.0,358166.0,231730.8
680,Ярославская область,2008,204.0,1611450.0,214946.3
681,г. Москва,2008,1684.0,16088749.0,8248652.0
682,Республика Карелия,2008,197.0,1990206.0,115208.2
683,Республика Коми,2008,116.0,1426890.0,291812.1
684,Ненецкий автономный округ,2008,1.59,1241797.0,91476.4
685,Архангельская область,2008,475.0,2801967.0,198279.50000000003
686,Вологодская область,2008,146.0,3162085.4,294926.2
687,Калининградская область,2008,103.0,1403282.0,179266.7
688,Ленинградская область,2008,324.0,3673245.5999999996,383255.4
689,Мурманская область,2008,356.0,1230838.0,213733.5
690,Новгородская область,2008,73.0,172230.0,115141.3
691,Псковская область,2008,57.0,430528.0,73283.2
692,г. Санкт-Петербург,2008,1174.0,13597944.4,1431839.6
693,Республика Адыгея (Адыгея),2008,21.0,1370538.0,36134.4
694,Республика Калмыкия,2008,39.0,249902.0,20789.7
695,Краснодарский край,2008,858.0,723874.0,803834.1
696,Астраханская область,2008,73.0,4530697.0,147549.1
697,Волгоградская область,2008,218.0,2239947.0,416678.5
698,Ростовская область,2008,265.0,2242587.6,576125.7
699,Республика Дагестан,2008,75.0,151633.32,216277.2
700,Республика Ингушетия,2008,1.26,0.0,19172.9
701,Кабардино-Балкарская Республика,2008,38.0,923440.0,58093.4
702,Карачаево-Черкесская Республика,2008,54.0,253956.0,35714.2
703,Республика Северная Осетия — Алания,2008,87.0,656329.0,57707.4
705,Ставропольский край,2008,194.0,732770.0,274992.0
706,Республика Башкортостан,2008,381.0,9487296.5,743133.4
707,Республика Марий Эл,2008,59.0,52746.0,65765.3
708,Республика Мордовия,2008,49.0,472964.0,94058.3
709,Республика Татарстан (Татарстан),2008,477.0,5638986.3,926056.7
710,Удмуртская Республика,2008,25.0,1363938.0,243135.5
711,Чувашская Республика — Чувашия,2008,115.0,114016.0,155032.3
712,Пермский край,2008,367.0,8032064.0,607362.7
713,Кировская область,2008,147.0,188052.0,151116.7
714,Нижегородская область,2008,410.0,2027776.0,588790.8
715,Оренбургская область,2008,137.0,5210126.0,430023.1
716,Пензенская область,2008,124.0,86258.0,147853.2
717,Самарская область,2008,445.0,4549938.84,699295.6
718,Саратовская область,2008,197.0,1168054.0,321747.2
719,Ульяновская область,2008,113.0,577214.6,150680.3
720,Курганская область,2008,54.0,773493.8,106223.2
721,Свердловская область,2008,873.0,14056605.7,923550.8
722,Ханты-Мансийский автономный округ — Югра,2008,42.0,9702761.2,1937159.1
723,Ямало-Ненецкий автономный округ,2008,48.0,2985569.0999999996,719397.0
724,Тюменская область,2008,100.0,13866021.7,464845.1999999997
725,Челябинская область,2008,750.0,6536954.199999999,664492.7
726,Республика Алтай,2008,0.46,0.0,18701.0
727,Республика Тыва,2008,8.0,228944.5,23870.5
728,Республика Хакасия,2008,44.0,57094.0,72308.8
729,Алтайский край,2008,22.0,211412.0,259343.1
730,Красноярский край,2008,481.0,7425796.9,737950.5
731,Иркутская область,2008,814.0,2299081.0,438852.4
732,Кемеровская область — Кузбасс,2008,782.0,2426772.0,575901.9
733,Новосибирская область,2008,105.0,1957960.4,453574.6
734,Омская область,2008,194.0,1022512.8,347760.3
735,Томская область,2008,8.0,2018999.4,248906.2
736,Республика Бурятия,2008,46.0,539909.0,124738.5
737,Республика Саха (Якутия),2008,93.0,9486622.400000002,309518.3
738,Забайкальский край,2008,97.0,1105444.1,140302.0
739,Камчатский край,2008,47.0,77982.79999999999,77854.3
740,Приморский край,2008,340.0,802117.0,316581.9
741,Хабаровский край,2008,196.0,1681494.0,269178.6
742,Амурская область,2008,86.0,646375.0,131563.7
743,Магаданская область,2008,30.0,134850.1,42053.8
744,Сахалинская область,2008,48.0,14796285.2,333581.6
745,Еврейская автономная область,2008,13.0,524398.0,23977.0
746,Чукотский автономный округ,2008,6.0,0.0,30558.7
747,Белгородская область,2009,49.0,880405.0,304345.3
748,Брянская область,2009,83.0,0.0,126477.4
749,Владимирская область,2009,129.0,63777.0,185824.6
750,Воронежская область,2009,134.0,1364551.6,301729.1
751,Ивановская область,2009,114.0,57314.0,87061.9
752,Калужская область,2009,95.0,695151.0999999999,154946.1
753,Костромская область,2009,61.0,43534.0,78920.7
754,Курская область,2009,33.0,53674.0,161570.9
755,Липецкая область,2009,101.0,8676344.0,226662.0
756,Московская область,2009,565.0,335495.4,1519446.3
757,Орловская область,2009,60.0,41639.8,90623.6
758,Рязанская область,2009,18.0,266160.0,153634.1
759,Смоленская область,2009,79.0,320622.0,125348.9
760,Тамбовская область,2009,13.0,1048296.0,136323.9
761,Тверская область,2009,92.0,7426255.0,197687.0
762,Тульская область,2009,192.0,1964386.0,214925.4
763,Ярославская область,2009,184.0,1987824.0,212684.4
764,г. Москва,2009,1595.0,11726408.0,7126972.4
765,Республика Карелия,2009,190.0,1297788.0,105924.1
766,Республика Коми,2009,107.0,12101837.0,302629.2
767,Ненецкий автономный округ,2009,1.63,81654.90000000001,130177.7
768,Архангельская область,2009,413.0,1699949.2000000002,193429.09999999998
769,Вологодская область,2009,132.0,2835586.04,213396.9
770,Калининградская область,2009,87.0,1408540.2,169519.6
771,Ленинградская область,2009,313.0,2050873.6,430395.5
772,Мурманская область,2009,352.0,1612973.0,202235.5
773,Новгородская область,2009,74.0,220344.0,117710.0
774,Псковская область,2009,54.0,98676.0,74647.8
775,г. Санкт-Петербург,2009,1106.0,14350585.2,1475805.3
776,Республика Адыгея (Адыгея),2009,29.0,844502.0,41511.5
777,Республика Калмыкия,2009,35.0,108672.0,23948.1
778,Краснодарский край,2009,820.0,1367065.4,861603.3
779,Астраханская область,2009,71.0,2117091.0,134418.2
780,Волгоградская область,2009,200.0,784414.0,377514.3
781,Ростовская область,2009,255.0,1271217.2000000002,555917.1
782,Республика Дагестан,2009,76.0,549879.5,257832.7
783,Республика Ингушетия,2009,3.14,0.0,18953.3
784,Кабардино-Балкарская Республика,2009,35.0,411121.0,65660.1
785,Карачаево-Черкесская Республика,2009,53.0,50678.8,38584.1
786,Республика Северная Осетия — Алания,2009,88.0,1228180.6,64081.4
788,Ставропольский край,2009,189.0,1119780.0,277251.0
789,Республика Башкортостан,2009,359.0,5328387.18,647911.7
790,Республика Марий Эл,2009,62.0,88597.16,69271.5
791,Республика Мордовия,2009,47.0,573622.0,90862.4
792,Республика Татарстан (Татарстан),2009,439.0,11039986.620000001,885064.0
793,Удмуртская Республика,2009,23.0,818739.4,230938.3
794,Чувашская Республика — Чувашия,2009,91.0,449267.0,139909.5
795,Пермский край,2009,314.0,6309011.0,539831.5
796,Кировская область,2009,139.0,368432.0,146321.3
797,Нижегородская область,2009,379.0,986657.0,547223.0
798,Оренбургская область,2009,136.0,3457544.8999999994,413395.5
799,Пензенская область,2009,116.0,97177.0,147185.1
800,Самарская область,2009,406.0,3102675.0,583999.9
801,Саратовская область,2009,56.0,1743974.0,326370.4
802,Ульяновская область,2009,106.0,541772.2,154247.4
803,Курганская область,2009,52.0,1735459.0,107914.5
804,Свердловская область,2009,780.0,7862425.8,825267.4
805,Ханты-Мансийский автономный округ — Югра,2009,46.0,7077361.03,1778637.1
806,Ямало-Ненецкий автономный округ,2009,33.0,8583498.94,649640.0
807,Тюменская область,2009,100.0,309597.81999999844,442006.8999999999
808,Челябинская область,2009,691.0,6473256.3,556985.3
809,Республика Алтай,2009,0.26,0.0,19911.6
810,Республика Тыва,2009,10.0,316947.0,26921.9
811,Республика Хакасия,2009,40.0,228273.3,81019.9
812,Алтайский край,2009,17.0,307775.0,265613.3
813,Красноярский край,2009,453.0,7819780.5,749194.8
814,Иркутская область,2009,640.0,2072532.6,458774.9
815,Кемеровская область — Кузбасс,2009,746.0,2865867.0,512408.0
816,Новосибирская область,2009,98.0,2117359.4000000004,425400.2
817,Омская область,2009,193.0,2351867.5,336259.6
818,Томская область,2009,9.0,3091875.6500000004,245808.3
819,Республика Бурятия,2009,45.0,668357.0,121187.7
820,Республика Саха (Якутия),2009,91.0,15727014.599999998,328201.7
821,Забайкальский край,2009,98.0,730648.2,148587.9
822,Камчатский край,2009,46.0,68414.0,94643.2
823,Приморский край,2009,337.0,2268115.0,368996.7
824,Хабаровский край,2009,193.0,2084137.0,276895.4
825,Амурская область,2009,83.0,1269189.0,151118.6
826,Магаданская область,2009,29.0,425995.4,47895.9
827,Сахалинская область,2009,49.0,4774079.0,392380.1
828,Еврейская автономная область,2009,14.0,218020.09999999998,25320.0
829,Чукотский автономный округ,2009,6.0,0.0,45067.6
830,Белгородская область,2010,77.0,1488078.0,398361.4
831,Брянская область,2010,78.0,0.0,147024.0
832,Владимирская область,2010,129.0,120245.0,224759.2
833,Воронежская область,2010,134.0,393762.6,346568.2
834,Ивановская область,2010,102.0,0.0,109884.5
835,Калужская область,2010,92.0,942491.3999999999,188601.3
836,Костромская область,2010,47.0,21543.0,98130.7
837,Курская область,2010,37.0,83820.0,193648.6
838,Липецкая область,2010,87.0,9769211.0,248544.9
839,Московская область,2010,1309.0,1355461.4,1832867.3
840,Орловская область,2010,50.0,117672.0,106196.7
841,Рязанская область,2010,89.0,364502.0,179127.9
842,Смоленская область,2010,73.0,463035.0,154681.1
843,Тамбовская область,2010,13.0,417492.0,143902.4
844,Тверская область,2010,99.0,9952371.0,219004.9
845,Тульская область,2010,196.0,828025.0,237629.2
846,Ярославская область,2010,240.0,601039.0,239644.0
847,г. Москва,2010,909.0,14999238.0,8375863.8
848,Республика Карелия,2010,190.0,3294327.0,120511.3
849,Республика Коми,2010,117.0,4206808.0,353853.0
850,Ненецкий автономный округ,2010,0.3,823265.0,145928.3
851,Архангельская область,2010,415.0,1227473.0,226876.5
852,Вологодская область,2010,152.0,913777.2,262432.7
853,Калининградская область,2010,88.0,1086419.6,195749.1
854,Ленинградская область,2010,291.0,584823.0,490303.7
855,Мурманская область,2010,339.0,2905218.0,233438.9
856,Новгородская область,2010,97.0,123756.0,127407.8
857,Псковская область,2010,52.0,78140.0,87066.0
858,г. Санкт-Петербург,2010,1346.0,19222411.599999998,1699486.4
859,Республика Адыгея (Адыгея),2010,29.0,208142.0,47194.5
860,Республика Калмыкия,2010,29.0,10934.0,24404.1
861,Краснодарский край,2010,863.0,1890411.8,1028308.4
862,Астраханская область,2010,69.0,6506574.0,144888.8
863,Волгоградская область,2010,186.0,1319640.0,433473.7
864,Ростовская область,2010,270.0,294945.4,659667.4
865,Республика Дагестан,2010,77.0,1097750.0,274354.2
866,Республика Ингушетия,2010,2.7,0.0,19929.1
867,Кабардино-Балкарская Республика,2010,33.0,797089.0,77086.4
868,Карачаево-Черкесская Республика,2010,51.0,19647.0,43651.5
869,Республика Северная Осетия — Алания,2010,82.0,1404997.8,75327.4
871,Ставропольский край,2010,144.0,1497605.0,330790.8
872,Республика Башкортостан,2010,341.0,8804046.5,759203.3
873,Республика Марий Эл,2010,60.0,28688.16,82374.4
874,Республика Мордовия,2010,46.0,427896.0,105343.8
875,Республика Татарстан (Татарстан),2010,490.0,10724536.1,1001622.8
876,Удмуртская Республика,2010,105.0,254433.6,274578.1
877,Чувашская Республика — Чувашия,2010,86.0,1023002.14,157704.6
878,Пермский край,2010,313.0,4565278.0,623116.8
879,Кировская область,2010,205.0,407937.0,172352.0
880,Нижегородская область,2010,472.0,1798424.0,652805.9
881,Оренбургская область,2010,122.0,4703073.2,458145.4
882,Пензенская область,2010,111.0,280601.0,172166.7
883,Самарская область,2010,397.0,2868463.73,695651.2
884,Саратовская область,2010,24.0,1338766.0,376169.4
885,Ульяновская область,2010,111.0,1370761.6,178235.4
886,Курганская область,2010,50.0,681362.6,117879.5
887,Свердловская область,2010,763.0,5165484.699999999,1046600.1
888,Ханты-Мансийский автономный округ — Югра,2010,55.0,24176098.84,1971870.5
889,Ямало-Ненецкий автономный округ,2010,44.0,6328659.239999999,782214.9
890,Тюменская область,2010,103.0,643593.0000000065,547487.8999999998
891,Челябинская область,2010,845.0,8594155.799999999,652865.5
892,Республика Алтай,2010,0.3,4734.32,22393.7
893,Республика Тыва,2010,9.0,754533.09,30772.8
894,Республика Хакасия,2010,38.0,774079.0,96039.8
895,Алтайский край,2010,15.0,188042.0,302900.7
896,Красноярский край,2010,444.0,8668285.2,1055525.0
897,Иркутская область,2010,594.0,1731238.94,546141.0
898,Кемеровская область — Кузбасс,2010,700.0,1705710.3,625914.9
899,Новосибирская область,2010,107.0,1233530.58,484141.3
900,Омская область,2010,177.0,1933335.0,382620.4
901,Томская область,2010,14.0,1487633.5,284676.7
902,Республика Бурятия,2010,41.0,1915282.0,133525.6
903,Республика Саха (Якутия),2010,86.0,5640642.679999999,386825.1
904,Забайкальский край,2010,78.0,127824.1,166742.5
905,Камчатский край,2010,46.0,0.0,103123.2
906,Приморский край,2010,371.0,9902868.0,470679.2
907,Хабаровский край,2010,191.0,1118838.9,353590.3
908,Амурская область,2010,82.0,258229.0,178689.6
909,Магаданская область,2010,27.0,427345.0,59619.7
910,Сахалинская область,2010,46.0,520578.0,487659.5
911,Еврейская автономная область,2010,15.0,295833.0,31555.9
912,Чукотский автономный округ,2010,5.0,0.0,38978.1
913,Белгородская область,2011,72.0,3335261.8,507839.8
914,Брянская область,2011,75.0,0.0,174211.8
915,Владимирская область,2011,126.0,296674.0,261222.6
916,Воронежская область,2011,135.0,533174.8,474973.9
917,Ивановская область,2011,99.0,172982.0,128905.4
918,Калужская область,2011,88.0,1072443.5999999999,234749.0
919,Костромская область,2011,46.0,340472.0,116629.8
920,Курская область,2011,50.0,152632.0,228851.4
921,Липецкая область,2011,82.0,9345930.0,287816.8
922,Московская область,2011,1220.0,710192.6,2176795.3
923,Орловская область,2011,54.0,176604.0,131198.2
924,Рязанская область,2011,84.0,1078030.0,214142.6
925,Смоленская область,2011,68.0,322456.4,180811.5
926,Тамбовская область,2011,9.0,552967.0,173283.1
927,Тверская область,2011,93.0,8971388.0,255073.0
928,Тульская область,2011,187.0,663363.0,279879.3
929,Ярославская область,2011,218.0,661391.78,286967.5
930,г. Москва,2011,908.0,15708853.0,9948772.8
931,Республика Карелия,2011,175.0,2563980.0,154953.7
932,Республика Коми,2011,129.0,1030906.0,435959.3
933,Ненецкий автономный округ,2011,0.2,1019875.0,165431.3
934,Архангельская область,2011,375.0,1823533.0,273685.5
935,Вологодская область,2011,157.0,4547444.08,323067.9
936,Калининградская область,2011,91.0,1215108.2,241004.8
937,Ленинградская область,2011,231.0,2754594.0,581712.0
938,Мурманская область,2011,334.0,1870034.0,263811.7
939,Новгородская область,2011,92.0,293195.96,153419.7
940,Псковская область,2011,45.0,38233.0,100498.5
941,г. Санкт-Петербург,2011,1239.0,16710404.499999998,2091914.3
942,Республика Адыгея (Адыгея),2011,28.0,280030.0,56803.3
943,Республика Калмыкия,2011,33.0,11660.0,29318.7
944,Краснодарский край,2011,920.0,3386060.8,1244652.8
945,Астраханская область,2011,71.0,4505678.0,172616.6
946,Волгоградская область,2011,150.0,1767230.0,508433.3
947,Ростовская область,2011,235.0,437445.4,765967.2
948,Республика Дагестан,2011,78.0,982391.02,330322.8
949,Республика Ингушетия,2011,4.3,0.0,26858.9
950,Кабардино-Балкарская Республика,2011,32.0,791705.0,90594.5
951,Карачаево-Черкесская Республика,2011,47.0,5833.1,49252.1
952,Республика Северная Осетия — Алания,2011,97.0,400209.0,85876.7
954,Ставропольский край,2011,138.0,1700000.0,396791.6
955,Республика Башкортостан,2011,321.0,6943523.340000001,941023.6
956,Республика Марий Эл,2011,57.0,7740.0,97323.3
957,Республика Мордовия,2011,42.0,879473.0,119955.2
958,Республика Татарстан (Татарстан),2011,498.0,8339828.2,1305947.0
959,Удмуртская Республика,2011,127.0,225572.2,335984.0
960,Чувашская Республика — Чувашия,2011,10.0,2533947.0,188785.7
961,Пермский край,2011,397.0,3249624.0,840101.1
962,Кировская область,2011,176.0,855548.0,195269.5
963,Нижегородская область,2011,461.0,2465125.0,770774.0
964,Оренбургская область,2011,132.0,5241975.4,553320.9
965,Пензенская область,2011,108.0,156591.1,213401.2
966,Самарская область,2011,395.0,5187682.9,834149.3
967,Саратовская область,2011,18.0,775009.0,431028.0
968,Ульяновская область,2011,115.0,133835.0,223672.7
969,Курганская область,2011,46.0,1300600.1,136325.1
970,Свердловская область,2011,770.0,7054888.0,1291019.1
971,Ханты-Мансийский автономный округ — Югра,2011,39.0,19737002.42,2440432.6
972,Ямало-Ненецкий автономный округ,2011,39.0,5594323.1,966110.4
973,Тюменская область,2011,104.0,1343856.5999999996,706053.0
974,Челябинская область,2011,836.0,9628687.0,774401.0
975,Республика Алтай,2011,0.3,297540.0,26380.8
976,Республика Тыва,2011,9.0,214231.0,33398.9
977,Республика Хакасия,2011,36.0,706204.0,113088.1
978,Алтайский край,2011,12.0,125760.0,332117.8
979,Красноярский край,2011,448.0,12826362.36,1170827.3
980,Иркутская область,2011,583.0,3420489.0,634561.4
981,Кемеровская область — Кузбасс,2011,661.0,2660189.0,751198.4
982,Новосибирская область,2011,94.0,2189316.1,598563.5
983,Омская область,2011,170.0,1884717.4,451418.8
984,Томская область,2011,26.0,2854774.7600000002,333885.7
985,Республика Бурятия,2011,8.0,905520.9,153624.1
986,Республика Саха (Якутия),2011,87.0,4021328.8,486830.9
987,Забайкальский край,2011,95.0,439763.06,203869.0
988,Камчатский край,2011,38.0,992119.0,114375.9
989,Приморский край,2011,336.0,16074828.0,549722.8
990,Хабаровский край,2011,188.0,2579230.0,399594.2
991,Амурская область,2011,79.0,1610459.0,225401.7
992,Магаданская область,2011,26.0,874662.0,72174.2
993,Сахалинская область,2011,46.0,1729514.0,600247.9
994,Еврейская автономная область,2011,16.0,39171.0,39467.0
995,Чукотский автономный округ,2011,5.0,470255.8,44757.6
