Модель,R²,RMSE,MAE
Random Forest,0.7989119299990025,0.0006360718521139307,0.00039692235396228593
Gradient Boosting,0.2765427749585644,0.0012064781291198333,0.0008135139758369026
Полиномиальная (3),0.0008810154542935322,0.001417821735764505,0.0009245151265203104
Полиномиальная (2),0.0002864354331959529,0.001418243548936114,0.0009260384919320295
Линейная регрессия,0.0002698616471995541,0.001418255305087317,0.0009258705152695666
Ridge,0.0002698616471995541,0.001418255305087317,0.0009258705155043058
Lasso,0.0,0.0014184467101842496,0.0009265081421768989
